,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,politicalregionalblocs,economicblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7440884593,7440884593,,,,2023-03-10T21:28:00,2023-03-10T21:28:00,,0,eng,,wnd.com,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7440884593/7440936667,7440936667,EU,UK,C4,2023-03-10T21:28:00,2023-03-10T22:19:00,C2,7440884593,eng,,reuters.com,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
3,/Event/7440884593/7440936667/7441968423,7441968423,AS,OM,,2023-03-10T22:19:00,2023-03-11T16:24:00,C11,7440884593,eng,Center,omanobserver.om,ChatGPT,Ara,,Muslim,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,AL,
4,/Event/7440884593/7440936667/7442290536,7442290536,AU,AU,C4,2023-03-10T22:19:00,2023-03-11T22:34:00,C2,7440884593,eng,,brisbanetimes.com.au,,Eng,,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,PIF,
5,/Event/7440884593/7440936667/7442290536/7443508421,7443508421,,,,2023-03-11T22:34:00,2023-03-12T20:53:00,,7440884593,eng,,theglobalherald.com,,,,,23.0,7.0,24.0,11.0,21.0,90.0,71.0,22.0,15.0,21.0,28.0,61.0,19.0,20.0,38.0,20.0,6.0,51.0,,
6,/Event/7440884593/7440936667/7443499544,7443499544,AF,EG,C19,2023-03-10T22:19:00,2023-03-12T20:40:00,C5,7440884593,eng,Uncertain,english.ahram.org.eg,https:en.wikipedia.orgwikiAl-Ahram,Ara,,Muslim,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,AU,AfCFTA
7,/Event/7440884593/7440936667/7443739205,7443739205,AU,AU,C4,2023-03-10T22:19:00,2023-03-13T01:40:00,C2,7440884593,eng,,watoday.com.au,,Eng,,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,PIF,
8,/Event/7440884593/7440936667/7444129048,7444129048,,,,2023-03-10T22:19:00,2023-03-13T07:54:00,,7440884593,eng,,sowetanlive.co.za,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
9,/Event/7440884593/7440936667/7444567092,7444567092,,,,2023-03-10T22:19:00,2023-03-13T12:30:00,,7440884593,eng,,nampa.org,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
10,/Event/7440884593/7440936667/7444651594,7444651594,,,,2023-03-10T22:19:00,2023-03-13T13:22:00,,7440884593,eng,,federalnewsnetwork.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
11,/Event/7440884593/7440936667/7444654913,7444654913,,USA,C4,2023-03-10T22:19:00,2023-03-13T13:24:00,C2,7440884593,eng,,wtop.com,,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NAFTA
12,/Event/7440884593/7440936667/7444662318,7444662318,,,,2023-03-10T22:19:00,2023-03-13T13:28:00,,7440884593,eng,,apnews.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
13,/Event/7440884593/7440936667/7444663050,7444663050,,USA,C4,2023-03-10T22:19:00,2023-03-13T13:29:00,C2,7440884593,eng,,arkansasonline.com,,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NAFTA
14,/Event/7440884593/7440936667/7444671364,7444671364,,,,2023-03-10T22:19:00,2023-03-13T13:34:00,,7440884593,eng,,click2houston.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
15,/Event/7440884593/7440936667/7444696566,7444696566,EU,UK,C4,2023-03-10T22:19:00,2023-03-13T13:50:00,C2,7440884593,eng,Center-left,dailymail.co.uk,ChatGPT,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
16,/Event/7440884593/7440936667/7444755031,7444755031,,,,2023-03-10T22:19:00,2023-03-13T14:26:00,,7440884593,eng,,hjnews.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
17,/Event/7440884593/7440936667/7444761900,7444761900,,,,2023-03-10T22:19:00,2023-03-13T14:30:00,,7440884593,eng,,newzimbabwe.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
18,/Event/7440884593/7440936667/7444823742,7444823742,,USA,C4,2023-03-10T22:19:00,2023-03-13T15:10:00,C2,7440884593,eng,,keyt.com,,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NAFTA
19,/Event/7440884593/7440936667/7444825050,7444825050,,,,2023-03-10T22:19:00,2023-03-13T15:11:00,,7440884593,eng,,devdiscourse.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
20,/Event/7440884593/7440936667/7444836069,7444836069,,,,2023-03-10T22:19:00,2023-03-13T15:17:00,,7440884593,eng,,jamaicaobserver.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
21,/Event/7440884593/7440936667/7444920518,7444920518,,,,2023-03-10T22:19:00,2023-03-13T16:12:00,,7440884593,eng,,scrippsnews.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
22,/Event/7440884593/7440936667/7445004220,7445004220,AF,ZA,C4,2023-03-10T22:19:00,2023-03-13T17:09:00,C17,7440884593,eng,,news24.com,,,,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,AU,AfCFTA
23,/Event/7440884593/7440936667/7445004220/7445063307,7445063307,,,,2023-03-13T17:09:00,2023-03-13T17:53:00,,7440884593,eng,,maraviexpress.com,,,,,74.0,102.0,63.0,49.0,129.0,65.0,63.0,48.0,102.0,34.0,68.0,63.0,140.0,38.0,49.0,136.0,40.0,49.0,,
24,/Event/7440884593/7440936667/7445004220/7445150024,7445150024,,USA,C4,2023-03-13T17:09:00,2023-03-13T19:03:00,C2,7440884593,eng,,bloomberg.com,,Eng,NATO,Christian,74.0,102.0,63.0,49.0,129.0,65.0,63.0,48.0,102.0,34.0,68.0,63.0,140.0,38.0,49.0,136.0,40.0,49.0,,NAFTA
25,/Event/7440884593/7440936667/7445004220/7445170311,7445170311,,,,2023-03-13T17:09:00,2023-03-13T19:20:00,,7440884593,eng,,bnnbloomberg.ca,,,,,74.0,102.0,63.0,49.0,129.0,65.0,63.0,48.0,102.0,34.0,68.0,63.0,140.0,38.0,49.0,136.0,40.0,49.0,,
26,/Event/7440884593/7440936667/7445004220/7445500114,7445500114,,,,2023-03-13T17:09:00,2023-03-14T01:06:00,,7440884593,eng,,nyasatimes.com,,,,,74.0,102.0,63.0,49.0,129.0,65.0,63.0,48.0,102.0,34.0,68.0,63.0,140.0,38.0,49.0,136.0,40.0,49.0,,
27,/Event/7440884593/7440936667/7445061368,7445061368,,USA,C4,2023-03-10T22:19:00,2023-03-13T17:52:00,C2,7440884593,eng,,adn.com,,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NAFTA
28,/Event/7440884593/7440936667/7445074064,7445074064,,,,2023-03-10T22:19:00,2023-03-13T18:02:00,,7440884593,eng,,nampa.org,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
29,/Event/7440884593/7440936667/7445174305,7445174305,,,,2023-03-10T22:19:00,2023-03-13T19:24:00,,7440884593,eng,,nampa.org,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
30,/Event/7440884593/7440936667/7445265440,7445265440,EU,IE,C4,2023-03-10T22:19:00,2023-03-13T20:46:00,C2,7440884593,eng,,belfasttelegraph.co.uk,,Eng,,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,EU
31,/Event/7440884593/7440936667/7445289912,7445289912,EU,IE,C4,2023-03-10T22:19:00,2023-03-13T21:07:00,C2,7440884593,eng,,independent.ie,,Eng,,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,EU
32,/Event/7440884593/7440936667/7445445590,7445445590,,,,2023-03-10T22:19:00,2023-03-14T00:02:00,,7440884593,eng,,independent.ng,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
33,/Event/7440884593/7440936667/7446089075,7446089075,,USA,C4,2023-03-10T22:19:00,2023-03-14T09:46:00,C2,7440884593,eng,,reliefweb.int,,Eng,NATO,Christian,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NAFTA
34,/Event/7440884593/7440936667/7446213107,7446213107,,,,2023-03-10T22:19:00,2023-03-14T11:00:00,,7440884593,eng,,africa-newsroom.com,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
