,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,politicalregionalblocs,religions,militarydefenseblocs,economicblocs,linguisticblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7441544637,7441544637,AS,AZ,C16,2023-03-11T09:58:00,2023-03-11T09:58:00,C9,0,eng,,en.trend.az,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,CIS,Muslim,,,
2,/Event/7441544637/7443319366,7443319366,AS,AZ,C16,2023-03-11T09:58:00,2023-03-12T17:24:00,C9,7441544637,eng,,en.trend.az,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,CIS,Muslim,,,
3,/Event/7441544637/7443319366/7444236947,7444236947,AS,TR,C14,2023-03-12T17:24:00,2023-03-13T09:09:00,C12,7441544637,eng,,aa.com.tr,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
4,/Event/7441544637/7443319366/7444236947/7444401517,7444401517,AS,TR,C14,2023-03-13T09:09:00,2023-03-13T10:51:00,C12,7441544637,eng,,yenisafak.com,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,Muslim,NATO,,
5,/Event/7441544637/7443319366/7444236947/7447766485,7447766485,,,,2023-03-13T09:09:00,2023-03-15T07:58:00,,7441544637,eng,,eutoday.net,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,,,,
6,/Event/7441544637/7443319366/7444553513,7444553513,AS,TR,C14,2023-03-12T17:24:00,2023-03-13T12:23:00,C12,7441544637,eng,,aa.com.tr,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
7,/Event/7441544637/7443319366/7444952530,7444952530,AS,TR,C14,2023-03-12T17:24:00,2023-03-13T16:34:00,C12,7441544637,eng,,trtworld.com,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
8,/Event/7441544637/7443319366/7445472327,7445472327,AS,TR,C14,2023-03-12T17:24:00,2023-03-14T00:32:00,C12,7441544637,eng,,trtworld.com,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
9,/Event/7441544637/7443319366/7446660240,7446660240,AS,TR,C14,2023-03-12T17:24:00,2023-03-14T15:29:00,C12,7441544637,eng,,aa.com.tr,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
10,/Event/7441544637/7443319366/7447131825,7447131825,AS,TR,C14,2023-03-12T17:24:00,2023-03-14T21:22:00,C12,7441544637,eng,,aa.com.tr,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
11,/Event/7441544637/7443782249,7443782249,AS,AZ,C16,2023-03-11T09:58:00,2023-03-13T02:32:00,C9,7441544637,eng,,en.trend.az,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,CIS,Muslim,,,
12,/Event/7441544637/7443929200,7443929200,,,,2023-03-11T09:58:00,2023-03-13T05:12:00,,7441544637,eng,,news.az,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,,,,
13,/Event/7441544637/7444061888,7444061888,AS,AZ,C16,2023-03-11T09:58:00,2023-03-13T07:05:00,C9,7441544637,eng,,en.trend.az,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,CIS,Muslim,,,
14,/Event/7441544637/7444297118,7444297118,AS,TR,C14,2023-03-11T09:58:00,2023-03-13T09:48:00,C12,7441544637,eng,,aa.com.tr,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
15,/Event/7441544637/7444297118/7445068436,7445068436,,USA,C4,2023-03-13T09:48:00,2023-03-13T17:58:00,C2,7441544637,eng,,reliefweb.int,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,Christian,NATO,NAFTA,Eng
16,/Event/7441544637/7444297118/7445493068,7445493068,AS,TR,C14,2023-03-13T09:48:00,2023-03-14T00:57:00,C12,7441544637,eng,,aa.com.tr,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,Muslim,NATO,,
17,/Event/7441544637/7444297118/7445888711,7445888711,AS,TR,C14,2023-03-13T09:48:00,2023-03-14T07:34:00,C12,7441544637,eng,,dailysabah.com,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,Muslim,NATO,,
18,/Event/7441544637/7444297118/7446506622,7446506622,AS,TR,C14,2023-03-13T09:48:00,2023-03-14T13:56:00,C12,7441544637,eng,,aa.com.tr,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,Muslim,NATO,,
19,/Event/7441544637/7444615015,7444615015,AS,TR,C14,2023-03-11T09:58:00,2023-03-13T13:02:00,C12,7441544637,eng,,aa.com.tr,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
20,/Event/7441544637/7444615015/7445030723,7445030723,,USA,C4,2023-03-13T13:02:00,2023-03-13T17:28:00,C2,7441544637,eng,,reliefweb.int,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,Christian,NATO,NAFTA,Eng
21,/Event/7441544637/7444615015/7445030723/7446410807,7446410807,AS,TR,C14,2023-03-13T17:28:00,2023-03-14T12:59:00,C12,7441544637,eng,,dailysabah.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,Muslim,NATO,,
22,/Event/7441544637/7444615015/7445318558,7445318558,AS,TR,C14,2023-03-13T13:02:00,2023-03-13T21:35:00,C12,7441544637,eng,,aa.com.tr,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,Muslim,NATO,,
23,/Event/7441544637/7444615015/7445318558/7446209401,7446209401,AS,TR,C14,2023-03-13T21:35:00,2023-03-14T10:58:00,C12,7441544637,eng,,aa.com.tr,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,Muslim,NATO,,
24,/Event/7441544637/7445048511,7445048511,AS,AZ,C16,2023-03-11T09:58:00,2023-03-13T17:42:00,C9,7441544637,eng,,en.trend.az,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,CIS,Muslim,,,
25,/Event/7441544637/7445096885,7445096885,,,,2023-03-11T09:58:00,2023-03-13T18:19:00,,7441544637,eng,,today.az,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,,,,
26,/Event/7441544637/7445413528,7445413528,AS,TR,C14,2023-03-11T09:58:00,2023-03-13T23:19:00,C12,7441544637,eng,,aa.com.tr,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
27,/Event/7441544637/7445847194,7445847194,AS,TR,C14,2023-03-11T09:58:00,2023-03-14T07:04:00,C12,7441544637,eng,,dailysabah.com,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,,Muslim,NATO,,
28,/Event/7441544637/7446663580,7446663580,AS,AZ,C16,2023-03-11T09:58:00,2023-03-14T15:30:00,C9,7441544637,eng,,en.trend.az,,65.0,79.0,47.0,113.0,85.0,22.0,22.0,54.0,65.0,61.0,72.0,50.0,149.0,144.0,85.0,111.0,132.0,88.0,CIS,Muslim,,,
