,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,linguisticblocs,militarydefenseblocs,religions,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/323423507,323423507,,USA,C4,2015-10-18T20:10:00,2015-10-18T20:10:00,C2,0,eng,,chicagotribune.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
2,/Event/323423507/323417524,323417524,,USA,C4,2015-10-18T20:10:00,2015-10-18T20:11:00,C2,323423507,eng,,ibtimes.co.uk,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
3,/Event/323423507/323417524/323590721,323590721,,USA,C4,2015-10-18T20:11:00,2015-10-19T00:55:00,C2,323423507,eng,Center-left,nytimes.com,ChatGPT,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
4,/Event/323423507/323417524/323571827,323571827,EU,HU,C5,2015-10-18T20:11:00,2015-10-19T07:18:00,C4,323423507,eng,,bbj.hu,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,EU,,NATO,Christian,
5,/Event/323423507/323417524/323575933,323575933,,,,2015-10-18T20:11:00,2015-10-19T08:49:00,,323423507,deu,,bild.de,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
6,/Event/323423507/323417524/323071855,323071855,,,,2015-10-18T20:11:00,2015-10-20T06:03:00,,323423507,deu,,rp-online.de,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
7,/Event/323423507/323417524/324347820,324347820,,,,2015-10-18T20:11:00,2015-10-21T01:01:00,,323423507,deu,,spiegel.de,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
8,/Event/323423507/323507934,323507934,,USA,C4,2015-10-18T20:10:00,2015-10-18T20:16:00,C2,323423507,eng,,post-gazette.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
9,/Event/323423507/323507934/323427856,323427856,,,,2015-10-18T20:16:00,2015-10-18T20:48:00,,323423507,eng,,msn.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
10,/Event/323423507/323507934/323427856/323438933,323438933,,,,2015-10-18T20:48:00,2015-10-18T21:21:00,,323423507,eng,,news.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,
11,/Event/323423507/323507934/323427856/323451303,323451303,AU,AU,C4,2015-10-18T20:48:00,2015-10-18T23:07:00,C2,323423507,eng,,au.news.yahoo.com,,,,,,,,,,,,,,,,,,,,,Eng,,Christian,PIF
