,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,linguisticblocs,politicalregionalblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,militarydefenseblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/324024451,324024451,,,,2015-10-20T10:18:00,2015-10-20T10:18:00,,0,eng,,eurotopics.net,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/324024451/324043113,324043113,AS,QA,C19,2015-10-20T10:18:00,2015-10-20T10:47:00,C9,324024451,eng,pro-Qatari-government-Arab-nationalist,aljazeera.com,ChatGPT,Ara,AL,Muslim,,,,,,,,,,,,,,,,,,,,
3,/Event/324024451/324043113/324045254,324045254,,,,2015-10-20T10:47:00,2015-10-20T10:54:00,,324024451,spa,,contacto-latino.com,,,,,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,,
4,/Event/324024451/324043113/324178872,324178872,,MX,C12,2015-10-20T10:47:00,2015-10-20T10:55:00,C18,324024451,spa,,novedadesacapulco.mx,,Spa,,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,NAFTA,
5,/Event/324024451/324043113/324168846,324168846,EU,UK,C4,2015-10-20T10:47:00,2015-10-20T11:01:00,C2,324024451,eng,,reuters.com,,Eng,,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,,NATO
6,/Event/324024451/324043113/324043298,324043298,,,,2015-10-20T10:47:00,2015-10-20T11:11:00,,324024451,eng,,rte.ie,,,,,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,,
7,/Event/324024451/324043113/324043298/324950298,324950298,,,,2015-10-20T11:11:00,2015-10-22T11:45:00,,324024451,eng,,sta.si,,,,,,,,,,,,,,,,,,,,,,,,
8,/Event/324024451/324043113/324051486,324051486,AS,IN,C18,2015-10-20T10:47:00,2015-10-20T11:22:00,C17,324024451,eng,,economictimes.indiatimes.com,,,,Hindu,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,,
9,/Event/324024451/324043113/324051486/324791911,324791911,,,,2015-10-20T11:22:00,2015-10-21T15:20:00,,324024451,por,,diariodigital.sapo.pt,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,
10,/Event/324024451/324043113/324066992,324066992,,,,2015-10-20T10:47:00,2015-10-20T11:27:00,,324024451,eng,,sofiaglobe.com,,,,,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,,
11,/Event/324024451/324043113/324052864,324052864,,CA,C4,2015-10-20T10:47:00,2015-10-20T11:29:00,C2,324024451,eng,Center-right,theglobeandmail.com,ChatGPT,Eng,,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,NAFTA,NATO
12,/Event/324024451/324043113/324054092,324054092,EU,UK,C4,2015-10-20T10:47:00,2015-10-20T11:43:00,C2,324024451,eng,Center-left,dailymail.co.uk,ChatGPT,Eng,,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,,NATO
13,/Event/324024451/324043113/324118779,324118779,,USA-CA,C4,2015-10-20T10:47:00,2015-10-20T11:58:00,C2,324024451,eng,,newsday.com,,Eng,,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,NAFTA,NATO
14,/Event/324024451/324043113/324080338,324080338,,USA,C4,2015-10-20T10:47:00,2015-10-20T12:02:00,C2,324024451,eng,,voanews.com,,Eng,,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,NAFTA,NATO
15,/Event/324024451/324043113/324072587,324072587,EU,UK,C4,2015-10-20T10:47:00,2015-10-20T12:27:00,C2,324024451,eng,Center-left,dailymail.co.uk,ChatGPT,Eng,,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,,NATO
16,/Event/324024451/324043113/324075393,324075393,AU,AU,C4,2015-10-20T10:47:00,2015-10-20T12:34:00,C2,324024451,eng,,au.news.yahoo.com,,Eng,PIF,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,,
17,/Event/324024451/324043113/324091346,324091346,EU,MT,C14,2015-10-20T10:47:00,2015-10-20T12:38:00,C2,324024451,eng,,timesofmalta.com,,,,Christian,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,EU,
