,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,economicblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,linguisticblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/332105979,332105979,,,,2015-11-10T10:26:00,2015-11-10T10:26:00,,0,deu,,kurier.at,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/332105979/332139157,332139157,EU,IT,C5,2015-11-10T10:26:00,2015-11-10T11:47:00,C2,332105979,ita,Progressive,ilpiccolo.gelocal.it,https:en.wikipedia.orgwikiIl_Piccolo,EU,NATO,Christian,,,,,,,,,,,,,,,,,,,,
3,/Event/332105979/332139157/332202519,332202519,,,,2015-11-10T11:47:00,2015-11-10T14:36:00,,332105979,eng,,breakingnews.ie,,,,,54.0,32.0,28.0,39.0,17.0,76.0,30.0,31.0,25.0,61.0,25.0,70.0,31.0,31.0,50.0,27.0,41.0,75.0,,
4,/Event/332105979/332139157/332202519/332348923,332348923,,,,2015-11-10T14:36:00,2015-11-10T20:24:00,,332105979,eng,,foreignpolicy.com,,,,,,,,,,,,,,,,,,,,,,,,
5,/Event/332105979/332139157/332202519/332572793,332572793,,USA,C4,2015-11-10T14:36:00,2015-11-11T17:55:00,C2,332105979,eng,,ibtimes.com,,NAFTA,NATO,Christian,,,,,,,,,,,,,,,,,,,Eng,
6,/Event/332105979/332139157/332202519/332720022,332720022,,USA,C4,2015-11-10T14:36:00,2015-11-12T07:45:00,C2,332105979,eng,Center-left,foxnews.com,ChatGPT,NAFTA,NATO,Christian,,,,,,,,,,,,,,,,,,,Eng,
7,/Event/332105979/332139157/332202519/332716214,332716214,,USA,C4,2015-11-10T14:36:00,2015-11-12T08:44:00,C2,332105979,eng,,usnews.com,,NAFTA,NATO,Christian,,,,,,,,,,,,,,,,,,,Eng,
8,/Event/332105979/332139157/332202519/332768979,332768979,,USA,C4,2015-11-10T14:36:00,2015-11-12T12:24:00,C2,332105979,eng,,seattlepi.com,,NAFTA,NATO,Christian,,,,,,,,,,,,,,,,,,,Eng,
9,/Event/332105979/332139157/332202519/332788753,332788753,,,,2015-11-10T14:36:00,2015-11-12T12:47:00,,332105979,eng,,cbs12.com,,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/332105979/332139157/332202519/332779806,332779806,,USA,C4,2015-11-10T14:36:00,2015-11-12T14:13:00,C2,332105979,eng,,daytondailynews.com,,NAFTA,NATO,Christian,,,,,,,,,,,,,,,,,,,Eng,
11,/Event/332105979/332139157/332202519/332810458,332810458,,,,2015-11-10T14:36:00,2015-11-12T15:43:00,,332105979,eng,,neurope.eu,,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/332105979/332139157/332202519/332810458/332824904,332824904,,USA,C4,2015-11-12T15:43:00,2015-11-12T16:48:00,C2,332105979,eng,,sfgate.com,,NAFTA,NATO,Christian,,,,,,,,,,,,,,,,,,,Eng,
13,/Event/332105979/332139157/332202519/333012356,333012356,,,,2015-11-10T14:36:00,2015-11-13T11:57:00,,332105979,eng,,thestandard.com.hk,,,,,,,,,,,,,,,,,,,,,,,,
14,/Event/332105979/332139157/332202519/333085198,333085198,EU,FR,C14,2015-11-10T14:36:00,2015-11-13T18:08:00,C2,332105979,eng,,euronews.com,,EU,NATO,Christian,,,,,,,,,,,,,,,,,,,Fre,
15,/Event/332105979/332139157/332348949,332348949,,,,2015-11-10T11:47:00,2015-11-10T15:49:00,,332105979,eng,,steelerslounge.com,,,,,54.0,32.0,28.0,39.0,17.0,76.0,30.0,31.0,25.0,61.0,25.0,70.0,31.0,31.0,50.0,27.0,41.0,75.0,,
16,/Event/332105979/332139157/332492133,332492133,,,,2015-11-10T11:47:00,2015-11-11T08:27:00,,332105979,eng,,tjcnewspaper.com,,,,,54.0,32.0,28.0,39.0,17.0,76.0,30.0,31.0,25.0,61.0,25.0,70.0,31.0,31.0,50.0,27.0,41.0,75.0,,
17,/Event/332105979/332139157/332634448,332634448,EU,FR,C14,2015-11-10T11:47:00,2015-11-11T10:40:00,C2,332105979,eng,,euronews.com,,EU,NATO,Christian,54.0,32.0,28.0,39.0,17.0,76.0,30.0,31.0,25.0,61.0,25.0,70.0,31.0,31.0,50.0,27.0,41.0,75.0,Fre,
18,/Event/332105979/332139157/332503660,332503660,,,,2015-11-10T11:47:00,2015-11-11T11:03:00,,332105979,eng,,thestandard.com.hk,,,,,54.0,32.0,28.0,39.0,17.0,76.0,30.0,31.0,25.0,61.0,25.0,70.0,31.0,31.0,50.0,27.0,41.0,75.0,,
19,/Event/332105979/332139157/332503660/333145050,333145050,EU,UK,C4,2015-11-11T11:03:00,2015-11-14T00:09:00,C2,332105979,spa,,latino-news.com,,,NATO,Christian,,,,,,,,,,,,,,,,,,,Eng,
20,/Event/332105979/332139157/332496151,332496151,EU,IT,C5,2015-11-10T11:47:00,2015-11-11T11:07:00,C2,332105979,ita,,tgcom24.mediaset.it,,EU,NATO,Christian,54.0,32.0,28.0,39.0,17.0,76.0,30.0,31.0,25.0,61.0,25.0,70.0,31.0,31.0,50.0,27.0,41.0,75.0,,
21,/Event/332105979/332139157/332488596,332488596,,,,2015-11-10T11:47:00,2015-11-11T11:08:00,,332105979,ita,,adnkronos.com,,,,,54.0,32.0,28.0,39.0,17.0,76.0,30.0,31.0,25.0,61.0,25.0,70.0,31.0,31.0,50.0,27.0,41.0,75.0,,
