,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,InvestmentEnvironment,LivingConditions,MarketAccessandInfrastructure,NaturalEnvironment,PersonalFreedom,SafetyandSecurity,SocialCapital,religions,economicblocs,linguisticblocs,militarydefenseblocs,Individualism,Indulgence,LongTermOrientation,Masculinity,PowerDistance,UncertaintyAvoidance,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/395986422,395986422,AS,AF,,2016-03-08T06:21:00,2016-03-08T06:21:00,C8,0,eng,,khaama.com,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Muslim,,,,,,,,,,
2,/Event/395986422/396231621,396231621,,,,2016-03-08T06:21:00,2016-03-08T13:58:00,,395986422,eng,,ariananews.af,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,,,,,,,,,,,
3,/Event/395986422/396231621/398503003,398503003,,USA,C4,2016-03-08T13:58:00,2016-03-11T15:39:00,C2,395986422,eng,,watchingamerica.com,,,,,,,,,,,,,,Christian,NAFTA,Eng,NATO,,,,,,,
4,/Event/395986422/396529717,396529717,,USA,C4,2016-03-08T06:21:00,2016-03-08T22:28:00,C2,395986422,eng,,huffingtonpost.com,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Christian,NAFTA,Eng,NATO,,,,,,,
5,/Event/395986422/396634691,396634691,AS,CN,C18,2016-03-08T06:21:00,2016-03-09T02:33:00,C9,395986422,eng,,xinhuanet.com,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Irreligion,,,,,,,,,,
6,/Event/395986422/396634691/397413222,397413222,AS,AF,,2016-03-09T02:33:00,2016-03-10T04:19:00,C8,395986422,eng,,khaama.com,,24.0,56.0,38.0,74.0,5.0,64.0,46.0,43.0,139.0,162.0,86.0,31.0,Muslim,,,,20.0,24.0,87.0,66.0,80.0,30.0,
7,/Event/395986422/396634691/397413222/397575869,397575869,AS,AF,,2016-03-10T04:19:00,2016-03-10T10:06:00,C8,395986422,eng,,khaama.com,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Muslim,,,,,,,,,,
8,/Event/395986422/396634691/397413222/398467491,398467491,,,,2016-03-10T04:19:00,2016-03-11T14:39:00,,395986422,eng,,ariananews.af,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,,,,,,,,,,,
9,/Event/395986422/396634691/397413222/398467491/398549675,398549675,AS,AE,C19,2016-03-11T14:39:00,2016-03-11T16:56:00,C9,395986422,eng,,wam.ae,,,,,,,,,,,,,,Muslim,,Ara,,,,,,,,AL
10,/Event/395986422/396634691/397413222/398467491/398572109,398572109,AS,PK,C20,2016-03-11T14:39:00,2016-03-11T17:33:00,C5,395986422,eng,Center,pakistantoday.com.pk,ChatGPT,,,,,,,,,,,,,Muslim,,,,,,,,,,
11,/Event/395986422/396634691/397413222/398467491/398621401,398621401,,,,2016-03-11T14:39:00,2016-03-11T19:03:00,,395986422,eng,,thediplomat.com,,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/395986422/396634691/397413222/398679026,398679026,,USA,C4,2016-03-10T04:19:00,2016-03-11T20:58:00,C2,395986422,eng,,hosted.ap.org,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Christian,NAFTA,Eng,NATO,,,,,,,
13,/Event/395986422/396634691/397413222/398684561,398684561,,USA,C4,2016-03-10T04:19:00,2016-03-11T21:08:00,C2,395986422,eng,,wxow.com,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Christian,NAFTA,Eng,NATO,,,,,,,
14,/Event/395986422/396634691/397413222/398686686,398686686,EU,UK,C4,2016-03-10T04:19:00,2016-03-11T21:12:00,C2,395986422,eng,Center-left,dailymail.co.uk,ChatGPT,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Christian,,Eng,NATO,,,,,,,
15,/Event/395986422/396634691/397413222/398799805,398799805,AS,PK,C20,2016-03-10T04:19:00,2016-03-12T02:07:00,C5,395986422,eng,,nation.com.pk,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Muslim,,,,,,,,,,
16,/Event/395986422/396677865,396677865,,,,2016-03-08T06:21:00,2016-03-09T04:37:00,,395986422,eng,,bernama.com,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,,,,,,,,,,,
17,/Event/395986422/396915580,396915580,,CA,C4,2016-03-08T06:21:00,2016-03-09T12:24:00,C2,395986422,eng,,globalresearch.ca,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Christian,NAFTA,Eng,NATO,,,,,,,
18,/Event/395986422/396915580/397584345,397584345,AS,PK,C20,2016-03-09T12:24:00,2016-03-10T10:22:00,C5,395986422,eng,,tribune.com.pk,,32.0,17.0,13.0,12.0,32.0,13.0,13.0,15.0,20.0,14.0,18.0,10.0,Muslim,,,,80.0,68.0,36.0,52.0,39.0,48.0,
19,/Event/395986422/396915580/397584345/397730415,397730415,,USA,C4,2016-03-10T10:22:00,2016-03-10T14:22:00,C2,395986422,eng,,voanews.com,,129.0,140.0,102.0,118.0,124.0,96.0,119.0,124.0,166.0,120.0,149.0,123.0,Christian,NAFTA,Eng,NATO,14.0,0.0,50.0,50.0,55.0,70.0,
20,/Event/395986422/396915580/397584345/398749974,398749974,AS,PK,C20,2016-03-10T10:22:00,2016-03-11T23:35:00,C5,395986422,eng,,tribune.com.pk,,129.0,140.0,102.0,118.0,124.0,96.0,119.0,124.0,166.0,120.0,149.0,123.0,Muslim,,,,14.0,0.0,50.0,50.0,55.0,70.0,
21,/Event/395986422/396915580/397584345/398784848,398784848,AS,PK,C20,2016-03-10T10:22:00,2016-03-12T01:13:00,C5,395986422,eng,,tribune.com.pk,,129.0,140.0,102.0,118.0,124.0,96.0,119.0,124.0,166.0,120.0,149.0,123.0,Muslim,,,,14.0,0.0,50.0,50.0,55.0,70.0,
22,/Event/395986422/396917225,396917225,,CA,C4,2016-03-08T06:21:00,2016-03-09T12:27:00,C2,395986422,eng,,globalresearch.ca,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Christian,NAFTA,Eng,NATO,,,,,,,
23,/Event/395986422/398756319,398756319,,USA,C4,2016-03-08T06:21:00,2016-03-11T23:53:00,C2,395986422,eng,Center-left,washingtonpost.com,ChatGPT,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Christian,NAFTA,Eng,NATO,,,,,,,
24,/Event/395986422/398777154,398777154,,USA,C4,2016-03-08T06:21:00,2016-03-12T00:48:00,C2,395986422,eng,,siouxcityjournal.com,,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Christian,NAFTA,Eng,NATO,,,,,,,
25,/Event/395986422/398831918,398831918,AS,QA,C19,2016-03-08T06:21:00,2016-03-12T04:10:00,C9,395986422,eng,Pro-government,thepeninsulaqatar.com,ChatGPT,152.0,157.0,139.0,149.0,153.0,154.0,153.0,159.0,155.0,148.0,166.0,166.0,Muslim,,Ara,,,,,,,,AL
