,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,religions,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/513438692,513438692,India,IN,C18,2016-09-22T03:30:00,2016-09-22T03:30:00,C17,0,eng,,firstpost.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AS,Hindu,,,,
2,/Event/513438692/513445358,513445358,India,IN,C18,2016-09-22T03:30:00,2016-09-22T03:48:00,C17,513438692,eng,Center-left,zeenews.india.com,ChatGPT,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AS,Hindu,,,,
3,/Event/513438692/513445358/513446732,513446732,India,,,2016-09-22T03:48:00,2016-09-22T03:53:00,,513438692,eng,,qz.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,,
4,/Event/513438692/513445358/513447129,513447129,India,,,2016-09-22T03:48:00,2016-09-22T03:54:00,,513438692,eng,,msn.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,,
5,/Event/513438692/513445358/513462483,513462483,India,IN,C18,2016-09-22T03:48:00,2016-09-22T04:31:00,C17,513438692,eng,Center-left,zeenews.india.com,ChatGPT,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AS,Hindu,,,,
6,/Event/513438692/513445358/513462483/513559936,513559936,India,IN,C18,2016-09-22T04:31:00,2016-09-22T07:57:00,C17,513438692,eng,,firstpost.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AS,Hindu,,,,
7,/Event/513438692/513445358/513462483/513681594,513681594,India,PK,C20,2016-09-22T04:31:00,2016-09-22T11:37:00,C5,513438692,eng,,tribune.com.pk,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AS,Muslim,,,,
8,/Event/513438692/513445358/513462483/514441925,514441925,India,,,2016-09-22T04:31:00,2016-09-23T13:09:00,,513438692,eng,,indiatimes.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,,
9,/Event/513438692/513445358/513462881,513462881,India,IN,C18,2016-09-22T03:48:00,2016-09-22T04:33:00,C17,513438692,eng,,sify.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,AS,Hindu,,,,
