,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,religions,linguisticblocs,militarydefenseblocs,economicblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/713207618,713207618,AS,PK,C20,2017-08-22T09:15:00,2017-08-22T09:15:00,C5,0,eng,,thefrontierpost.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,Muslim,,,,
2,/Event/713207618/713586788,713586788,AS,IN,C18,2017-08-22T09:15:00,2017-08-22T21:46:00,C17,713207618,eng,Center-left,indianexpress.com,ChatGPT,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,Hindu,,,,
3,/Event/713207618/713586788/713595493,713595493,AS,IN,C18,2017-08-22T21:46:00,2017-08-22T22:07:00,C17,713207618,eng,,business-standard.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
4,/Event/713207618/713586788/713646039,713646039,,,,2017-08-22T21:46:00,2017-08-23T00:35:00,,713207618,eng,,sputniknews.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,
5,/Event/713207618/713586788/713646039/713914022,713914022,AS,IR,C20,2017-08-23T00:35:00,2017-08-23T11:21:00,C5,713207618,eng,,en.farsnews.com,,,,,,,,,,,,,,,,,,,,Muslim,,,,
6,/Event/713207618/713586788/713646039/713955393,713955393,,,,2017-08-23T00:35:00,2017-08-23T12:39:00,,713207618,eng,,brecorder.com,,,,,,,,,,,,,,,,,,,,,,,,
7,/Event/713207618/713586788/713791386,713791386,AS,IN,C18,2017-08-22T21:46:00,2017-08-23T07:13:00,C17,713207618,eng,,business-standard.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
8,/Event/713207618/713586788/713802897,713802897,AS,IN,C18,2017-08-22T21:46:00,2017-08-23T07:40:00,C17,713207618,eng,,financialexpress.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
9,/Event/713207618/713586788/713818536,713818536,AS,IR,C20,2017-08-22T21:46:00,2017-08-23T08:14:00,C5,713207618,eng,,irna.ir,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Muslim,,,,
10,/Event/713207618/713586788/713818536/713868551,713868551,EU,UK,C4,2017-08-23T08:14:00,2017-08-23T09:52:00,C2,713207618,eng,,alaraby.co.uk,,138.0,78.0,162.0,146.0,58.0,41.0,40.0,129.0,81.0,14.0,102.0,43.0,158.0,165.0,58.0,130.0,122.0,59.0,Christian,Eng,NATO,,
11,/Event/713207618/713586788/713835613,713835613,,,,2017-08-22T21:46:00,2017-08-23T08:48:00,,713207618,eng,,brecorder.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,
12,/Event/713207618/713586788/713862787,713862787,AS,PK,C20,2017-08-22T21:46:00,2017-08-23T09:40:00,C5,713207618,eng,,thefrontierpost.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Muslim,,,,
13,/Event/713207618/713586788/713862787/714251285,714251285,AS,TR,C14,2017-08-23T09:40:00,2017-08-23T09:44:00,C12,713207618,eng,,trtworld.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,Muslim,,NATO,,
14,/Event/713207618/713586788/713862787/714694508,714694508,AS,TR,C14,2017-08-23T09:40:00,2017-08-24T15:30:00,C12,713207618,tur,,yenisafak.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,Muslim,,NATO,,
15,/Event/713207618/713586788/713862787/714694508/715018616,715018616,,,,2017-08-24T15:30:00,2017-08-25T05:31:00,,713207618,tur,,haber7.com,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,,,,,
16,/Event/713207618/713586788/713862787/714694508/716625450,716625450,AS,TR,C14,2017-08-24T15:30:00,2017-08-28T13:50:00,C12,713207618,tur,,malatyagercek.com,,71.0,74.0,65.0,128.0,63.0,37.0,49.0,68.0,59.0,46.0,50.0,45.0,86.0,152.0,66.0,147.0,137.0,85.0,Muslim,,NATO,,
17,/Event/713207618/713586788/713862787/714708139,714708139,,,,2017-08-23T09:40:00,2017-08-24T15:55:00,,713207618,tur,,dunya.com,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,
18,/Event/713207618/713586788/713862787/714721877,714721877,,,,2017-08-23T09:40:00,2017-08-24T16:21:00,,713207618,tur,,sabah.com.tr,,129.0,140.0,102.0,118.0,124.0,14.0,0.0,96.0,119.0,50.0,124.0,50.0,166.0,120.0,55.0,149.0,123.0,70.0,,,,,
