,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,religions,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/793108839,793108839,AS,IN,C18,2018-01-13T08:10:00,2018-01-13T08:10:00,C17,0,eng,,sify.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
2,/Event/793108839/793110581,793110581,AS,IN,C18,2018-01-13T08:10:00,2018-01-13T08:16:00,C17,793108839,eng,,business-standard.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
3,/Event/793108839/793110581/793342563,793342563,,CA,C4,2018-01-13T08:16:00,2018-01-13T13:02:00,C2,793108839,eng,,globalresearch.ca,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Christian,NAFTA,Eng,NATO,
4,/Event/793108839/793110581/794761666,794761666,AS,IN,C18,2018-01-13T08:16:00,2018-01-16T10:08:00,C17,793108839,eng,,economictimes.indiatimes.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
5,/Event/793108839/793110581/794768849,794768849,AS,IN,C18,2018-01-13T08:16:00,2018-01-16T10:21:00,C17,793108839,eng,fiscally-conservative-socially-liberal,livemint.com,https:en.wikipedia.orgwikiMint_(newspaper),89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
6,/Event/793108839/793110581/794769369,794769369,AS,IN,C18,2018-01-13T08:16:00,2018-01-16T10:22:00,C17,793108839,eng,Center-right,timesofindia.indiatimes.com,ChatGPT,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
7,/Event/793108839/793159365,793159365,AS,IN,C18,2018-01-13T08:10:00,2018-01-13T08:23:00,C17,793108839,eng,Independent,greaterkashmir.com,https:en.wikipedia.orgwikiGreater_Kashmir,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Hindu,,,,
8,/Event/793108839/793159365/793524749,793524749,AS,PK,C20,2018-01-13T08:23:00,2018-01-14T07:00:00,C5,793108839,eng,,thefrontierpost.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Muslim,,,,
9,/Event/793108839/793159365/793976746,793976746,AS,PK,C20,2018-01-13T08:23:00,2018-01-15T05:07:00,C5,793108839,eng,,tribune.com.pk,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Muslim,,,,
