,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,linguisticblocs,militarydefenseblocs,religions,economicblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/1003230454,1003230454,EU,UK,C4,2018-11-26T00:07:00,2018-11-26T00:07:00,C2,0,eng,Center-left,theguardian.com,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,NATO,Christian,,
2,/Event/1003230454/1003319723,1003319723,AF,GH,C10,2018-11-26T00:07:00,2018-11-26T04:28:00,C16,1003230454,eng,,guyanachronicle.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,Christian,AfCFTA,AU
3,/Event/1003230454/1003373886,1003373886,AU,AU,C4,2018-11-26T00:07:00,2018-11-26T06:28:00,C2,1003230454,eng,,couriermail.com.au,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,,Christian,,PIF
4,/Event/1003230454/1003373886/1003668603,1003668603,AS,IN,C18,2018-11-26T06:28:00,2018-11-26T13:29:00,C17,1003230454,eng,,business-standard.com,,23.0,7.0,24.0,11.0,21.0,90.0,71.0,22.0,15.0,21.0,28.0,61.0,19.0,20.0,38.0,20.0,6.0,51.0,,,Hindu,,
5,/Event/1003230454/1003373886/1005377134,1005377134,AS,IN,C18,2018-11-26T06:28:00,2018-11-28T11:31:00,C17,1003230454,eng,,rediff.com,,23.0,7.0,24.0,11.0,21.0,90.0,71.0,22.0,15.0,21.0,28.0,61.0,19.0,20.0,38.0,20.0,6.0,51.0,,,Hindu,,
6,/Event/1003230454/1003389023,1003389023,EU,DK,C8,2018-11-26T00:07:00,2018-11-26T06:56:00,C2,1003230454,eng,,sport24.co.za,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,NATO,Christian,EU,
7,/Event/1003230454/1003389023/1005370778,1005370778,AS,IN,C18,2018-11-26T06:56:00,2018-11-28T11:24:00,C17,1003230454,eng,Center-left,indianexpress.com,ChatGPT,7.0,5.0,8.0,3.0,16.0,74.0,70.0,8.0,2.0,35.0,9.0,16.0,5.0,2.0,18.0,6.0,1.0,23.0,,,Hindu,,
8,/Event/1003230454/1003389023/1005377226,1005377226,AS,IN,C18,2018-11-26T06:56:00,2018-11-28T11:31:00,C17,1003230454,eng,Center-right,timesofindia.indiatimes.com,ChatGPT,7.0,5.0,8.0,3.0,16.0,74.0,70.0,8.0,2.0,35.0,9.0,16.0,5.0,2.0,18.0,6.0,1.0,23.0,,,Hindu,,
9,/Event/1003230454/1003389023/1005403021,1005403021,AS,IN,C18,2018-11-26T06:56:00,2018-11-28T12:04:00,C17,1003230454,eng,,business-standard.com,,7.0,5.0,8.0,3.0,16.0,74.0,70.0,8.0,2.0,35.0,9.0,16.0,5.0,2.0,18.0,6.0,1.0,23.0,,,Hindu,,
