,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7384313856,7384313856,,,,2023-02-04T22:06:00,2023-02-04T22:06:00,,0,eng,,heritage.org,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7384313856/7384662446,7384662446,AS,IN,C18,2023-02-04T22:06:00,2023-02-05T06:17:00,C17,7384313856,eng,,business-standard.com,,Hindu,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7384313856/7384662446/7384663595,7384663595,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:19:00,C17,7384313856,eng,,aninews.in,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
4,/Event/7384313856/7384662446/7384665055,7384665055,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:21:00,C17,7384313856,eng,,republicworld.com,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
5,/Event/7384313856/7384662446/7384666421,7384666421,,,,2023-02-05T06:17:00,2023-02-05T06:22:00,,7384313856,eng,,thedispatch.in,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
6,/Event/7384313856/7384662446/7384666421/7384701120,7384701120,AS,IN,C18,2023-02-05T06:22:00,2023-02-05T07:00:00,C17,7384313856,eng,,freepressjournal.in,,Hindu,,,,,,,,,,,,,,,,,,,,,,
7,/Event/7384313856/7384662446/7384667565,7384667565,AS,IR,C20,2023-02-05T06:17:00,2023-02-05T06:22:00,C5,7384313856,eng,,en.mehrnews.com,,Muslim,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
8,/Event/7384313856/7384662446/7384668611,7384668611,,,,2023-02-05T06:17:00,2023-02-05T06:23:00,,7384313856,eng,,moneycontrol.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
9,/Event/7384313856/7384662446/7384668611/7384729956,7384729956,,,,2023-02-05T06:23:00,2023-02-05T07:28:00,,7384313856,eng,,opindia.com,,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/7384313856/7384662446/7384668261,7384668261,AS,AE,C19,2023-02-05T06:17:00,2023-02-05T06:24:00,C9,7384313856,eng,Center,khaleejtimes.com,ChatGPT,Muslim,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,?,Ara,?,AL
11,/Event/7384313856/7384662446/7384668261/7384699635,7384699635,AS,PH,C18,2023-02-05T06:24:00,2023-02-05T06:58:00,C18,7384313856,eng,,newsinfo.inquirer.net,,Christian,26.0,42.0,22.0,38.0,33.0,36.0,22.0,32.0,47.0,22.0,22.0,52.0,119.0,146.0,74.0,50.0,78.0,66.0,ASEAN,,,
12,/Event/7384313856/7384662446/7384670502,7384670502,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:26:00,C17,7384313856,eng,Independent,pragativadi.com,https:en.wikipedia.orgwikiPragativadi,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
13,/Event/7384313856/7384662446/7384670919,7384670919,,,,2023-02-05T06:17:00,2023-02-05T06:26:00,,7384313856,eng,,thestatesman.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
14,/Event/7384313856/7384662446/7384670839,7384670839,AS,PK,C20,2023-02-05T06:17:00,2023-02-05T06:27:00,C5,7384313856,eng,,tribune.com.pk,,Muslim,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
15,/Event/7384313856/7384662446/7384673359,7384673359,,,,2023-02-05T06:17:00,2023-02-05T06:29:00,,7384313856,eng,,kashmirobserver.net,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
16,/Event/7384313856/7384662446/7384673538,7384673538,,,,2023-02-05T06:17:00,2023-02-05T06:30:00,,7384313856,eng,,ca.sports.yahoo.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
17,/Event/7384313856/7384662446/7384674408,7384674408,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:30:00,C17,7384313856,eng,Center-left,telanganatoday.com,https:en.wikipedia.orgwikiTelangana_Today,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
18,/Event/7384313856/7384662446/7384674408/7384708398,7384708398,,,,2023-02-05T06:30:00,2023-02-05T07:07:00,,7384313856,eng,,newsroompost.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
19,/Event/7384313856/7384662446/7384674408/7384726285,7384726285,,,,2023-02-05T06:30:00,2023-02-05T07:23:00,,7384313856,eng,,thehealthsite.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
20,/Event/7384313856/7384662446/7384674408/7384954537,7384954537,,,,2023-02-05T06:30:00,2023-02-05T10:59:00,,7384313856,eng,,telegraphindia.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
21,/Event/7384313856/7384662446/7384674408/7384981084,7384981084,AS,AE,C19,2023-02-05T06:30:00,2023-02-05T11:21:00,C9,7384313856,eng,Center,khaleejtimes.com,ChatGPT,Muslim,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,?,Ara,?,AL
22,/Event/7384313856/7384662446/7384673604,7384673604,,,,2023-02-05T06:17:00,2023-02-05T06:30:00,,7384313856,eng,,opindia.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
23,/Event/7384313856/7384662446/7384676691,7384676691,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:33:00,C17,7384313856,eng,,firstpost.com,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
24,/Event/7384313856/7384662446/7384678457,7384678457,,,,2023-02-05T06:17:00,2023-02-05T06:34:00,,7384313856,eng,,latestly.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
25,/Event/7384313856/7384662446/7384678457/7384701876,7384701876,AS,IN,C18,2023-02-05T06:34:00,2023-02-05T07:02:00,C17,7384313856,eng,Center-left,zeenews.india.com,ChatGPT,Hindu,,,,,,,,,,,,,,,,,,,,,,
26,/Event/7384313856/7384662446/7384678457/7384877631,7384877631,AS,IN,C18,2023-02-05T06:34:00,2023-02-05T09:50:00,C17,7384313856,eng,,economictimes.indiatimes.com,,Hindu,,,,,,,,,,,,,,,,,,,,,,
27,/Event/7384313856/7384662446/7384679115,7384679115,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:35:00,C17,7384313856,eng,,thehindu.com,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
28,/Event/7384313856/7384662446/7384681388,7384681388,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:37:00,C17,7384313856,eng,,newindianexpress.com,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
29,/Event/7384313856/7384662446/7384680969,7384680969,,,,2023-02-05T06:17:00,2023-02-05T06:37:00,,7384313856,eng,,devdiscourse.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
30,/Event/7384313856/7384662446/7384681336,7384681336,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:37:00,C17,7384313856,eng,,hindustantimes.com,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
31,/Event/7384313856/7384662446/7384684922,7384684922,,,,2023-02-05T06:17:00,2023-02-05T06:41:00,,7384313856,eng,,mangalorean.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
32,/Event/7384313856/7384662446/7384684666,7384684666,,,,2023-02-05T06:17:00,2023-02-05T06:41:00,,7384313856,eng,,bqprime.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
33,/Event/7384313856/7384662446/7384687714,7384687714,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:44:00,C17,7384313856,eng,,newsable.asianetnews.com,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
34,/Event/7384313856/7384662446/7384691975,7384691975,,,,2023-02-05T06:17:00,2023-02-05T06:50:00,,7384313856,eng,,socialnews.xyz,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
35,/Event/7384313856/7384662446/7384693852,7384693852,AS,IN,C18,2023-02-05T06:17:00,2023-02-05T06:51:00,C17,7384313856,eng,,mid-day.com,,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
36,/Event/7384313856/7384662446/7384694894,7384694894,,,,2023-02-05T06:17:00,2023-02-05T06:52:00,,7384313856,eng,,yourstory.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
37,/Event/7384313856/7384662446/7384695429,7384695429,,,,2023-02-05T06:17:00,2023-02-05T06:52:00,,7384313856,eng,,sports.yahoo.com,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
