,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs,religions
0,/Event,Event,,,,,,,0,,,,,,,,,
1,/Event/7430434615,7430434615,,,,2023-03-04T11:36:00,2023-03-04T11:36:00,,0,eng,,pulselive.co.ke,,,,,,
2,/Event/7430434615/7431730730,7431730730,AF,KE,C20,2023-03-04T11:36:00,2023-03-05T13:11:00,C17,7430434615,eng,Independent,the-star.co.ke,ChatGPT,AfCFTA,?,?,AU,Christian
3,/Event/7430434615/7431730730/7431772328,7431772328,,,,2023-03-05T13:11:00,2023-03-05T13:53:00,,7430434615,eng,,pulselive.co.ke,,,,,,
4,/Event/7430434615/7431730730/7431772328/7431910679,7431910679,,,,2023-03-05T13:53:00,2023-03-05T16:13:00,,7430434615,eng,,kenyandigest.com,,,,,,
5,/Event/7430434615/7431730730/7431772328/7431910686,7431910686,,,,2023-03-05T13:53:00,2023-03-05T16:13:00,,7430434615,eng,,kenyandigest.com,,,,,,
6,/Event/7430434615/7431730730/7432400747,7432400747,,,,2023-03-05T13:11:00,2023-03-06T02:49:00,,7430434615,eng,,nation.africa,,,,,,
7,/Event/7430434615/7431730730/7432400747/7432445211,7432445211,,,,2023-03-06T02:49:00,2023-03-06T03:52:00,,7430434615,eng,,kenyamoja.com,,,,,,
8,/Event/7430434615/7431730730/7432583220,7432583220,AF,KE,C20,2023-03-05T13:11:00,2023-03-06T06:22:00,C17,7430434615,eng,?,the-star.co.ke,?,AfCFTA,?,?,AU,Christian
9,/Event/7430434615/7431730730/7432716663,7432716663,AF,KE,C20,2023-03-05T13:11:00,2023-03-06T08:13:00,C17,7430434615,eng,?,the-star.co.ke,?,AfCFTA,?,?,AU,Christian
10,/Event/7430434615/7431730730/7433083313,7433083313,AF,KE,C20,2023-03-05T13:11:00,2023-03-06T12:22:00,C17,7430434615,eng,?,the-star.co.ke,?,AfCFTA,?,?,AU,Christian
11,/Event/7430434615/7431730730/7433159310,7433159310,,,,2023-03-05T13:11:00,2023-03-07T23:27:00,,7430434615,eng,,kenyandigest.com,,,,,,
12,/Event/7430510632,7430510632,AF,KE,C20,2023-03-04T12:51:00,2023-03-04T12:51:00,C17,0,eng,Independent,the-star.co.ke,ChatGPT,AfCFTA,?,?,AU,Christian
13,/Event/7430510632/7430802089,7430802089,,,,2023-03-04T12:51:00,2023-03-04T17:47:00,,7430510632,eng,,kenyandigest.com,,,,,,
14,/Event/7430510632/7430802089/7431723818,7431723818,AF,KE,C20,2023-03-04T17:47:00,2023-03-05T13:05:00,C17,7430510632,eng,?,capitalfm.co.ke,?,AfCFTA,?,?,AU,Christian
15,/Event/7430510632/7430802089/7431723818/7431786581,7431786581,,,,2023-03-05T13:05:00,2023-03-05T14:07:00,,7430510632,eng,,kenyandigest.com,,,,,,
16,/Event/7430510632/7430802089/7431723818/7432822613,7432822613,,,,2023-03-05T13:05:00,2023-03-06T09:28:00,,7430510632,eng,,kenyan-post.com,,,,,,
17,/Event/7434429954,7434429954,,,,2023-03-07T09:03:00,2023-03-07T09:03:00,,0,eng,,kenyandigest.com,,,,,,
18,/Event/7434429954/7434481249,7434481249,,,,2023-03-07T09:03:00,2023-03-07T09:39:00,,7434429954,eng,,kenyan-post.com,,,,,,
