,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,linguisticblocs,militarydefenseblocs,religions,economicblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7428909703,7428909703,United-Kingdom,UK,C4,2023-03-03T11:11:00,2023-03-03T11:11:00,C2,0,eng,,thecourier.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
2,/Event/7428909703/7432674374,7432674374,United-Kingdom,,,2023-03-03T11:11:00,2023-03-06T07:39:00,,7428909703,eng,,news.stv.tv,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
3,/Event/7428909703/7432674374/7432723040,7432723040,,UK,C4,2023-03-06T07:39:00,2023-03-06T08:16:00,C2,7428909703,eng,,mirror.co.uk,,,,,,,,,,,,,,,,,,,,EU,Eng,NATO,Christian,,
4,/Event/7428909703/7432674374/7433229362,7433229362,,UK,C4,2023-03-06T07:39:00,2023-03-06T13:56:00,C2,7428909703,eng,,dailyrecord.co.uk,,,,,,,,,,,,,,,,,,,,EU,Eng,NATO,Christian,,
5,/Event/7428909703/7432674374/7434442380,7434442380,,,,2023-03-06T07:39:00,2023-03-07T09:11:00,,7428909703,eng,,news.stv.tv,,,,,,,,,,,,,,,,,,,,,,,,,
6,/Event/7428909703/7432965187,7432965187,United-Kingdom,UK,C4,2023-03-03T11:11:00,2023-03-06T11:04:00,C2,7428909703,eng,,dailyrecord.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
7,/Event/7428909703/7432965187/7433197065,7433197065,United-Kingdom,,,2023-03-06T11:04:00,2023-03-06T13:34:00,,7428909703,eng,,edinburghlive.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
8,/Event/7428909703/7432965187/7434101969,7434101969,United-Kingdom,UK,C4,2023-03-06T11:04:00,2023-03-07T04:08:00,C2,7428909703,eng,,hulldailymail.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
9,/Event/7428909703/7432965187/7434143137,7434143137,United-Kingdom,UK,C4,2023-03-06T11:04:00,2023-03-07T04:57:00,C2,7428909703,eng,,dailyrecord.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
