,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,linguisticblocs,militarydefenseblocs,religions,politicalregionalblocs,economicblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7440345427,7440345427,EU,UK,C4,2023-03-10T14:30:00,2023-03-10T14:30:00,C2,0,eng,,dailystar.co.uk,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,NATO,Christian,,
2,/Event/7440345427/7440451821,7440451821,,,,2023-03-10T14:30:00,2023-03-10T15:40:00,,7440345427,eng,,space.com,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,,,,
3,/Event/7440345427/7440451821/7441577125,7441577125,AS,AE,C19,2023-03-10T15:40:00,2023-03-11T10:26:00,C9,7440345427,eng,,gulfnews.ca,,,,,,,,,,,,,,,,,,,,Ara,,Muslim,AL,
4,/Event/7440345427/7440451821/7441582241,7441582241,,,,2023-03-10T15:40:00,2023-03-11T10:31:00,,7440345427,eng,,spaceflightnow.com,,,,,,,,,,,,,,,,,,,,,,,,
5,/Event/7440345427/7440451821/7441586185,7441586185,AS,IN,C18,2023-03-10T15:40:00,2023-03-11T10:34:00,C17,7440345427,eng,Center-left,indianexpress.com,ChatGPT,,,,,,,,,,,,,,,,,,,,,Hindu,,
6,/Event/7440345427/7440451821/7441586185/7441653633,7441653633,,,,2023-03-11T10:34:00,2023-03-11T11:35:00,,7440345427,eng,,ca.sports.yahoo.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,
7,/Event/7440345427/7440451821/7441586185/7441828011,7441828011,,,,2023-03-11T10:34:00,2023-03-11T14:15:00,,7440345427,eng,,ca.sports.yahoo.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,
8,/Event/7440345427/7440451821/7441586185/7441986590,7441986590,,,,2023-03-11T10:34:00,2023-03-11T16:41:00,,7440345427,eng,,digitaltrends.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,,
9,/Event/7440345427/7440451821/7441586185/7442024532,7442024532,,USA,C4,2023-03-11T10:34:00,2023-03-11T17:16:00,C2,7440345427,eng,Center-left,cbsnews.com,ChatGPT,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Eng,NATO,Christian,,NAFTA
