,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,politicalregionalblocs,religions,militarydefenseblocs,economicblocs,linguisticblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7441544637,7441544637,Azerbaijan,AZ,C16,2023-03-11T09:58:00,2023-03-11T09:58:00,C9,0,eng,,en.trend.az,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,CIS,Muslim,,,
2,/Event/7441544637/7443319366,7443319366,Azerbaijan,AZ,C16,2023-03-11T09:58:00,2023-03-12T17:24:00,C9,7441544637,eng,,en.trend.az,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,CIS,Muslim,,,
3,/Event/7441544637/7443319366/7444236947,7444236947,Azerbaijan,TR,C14,2023-03-12T17:24:00,2023-03-13T09:09:00,C12,7441544637,eng,,aa.com.tr,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,,Muslim,NATO,,
4,/Event/7441544637/7443319366/7444236947/7444401517,7444401517,Turkey,TR,C14,2023-03-13T09:09:00,2023-03-13T10:51:00,C12,7441544637,eng,,yenisafak.com,,average,average,average,worst,average,low,low,average,average,low,best,low,average,average,high,worst,worst,high,AS,,Muslim,NATO,,
5,/Event/7441544637/7443319366/7444236947/7447766485,7447766485,Turkey,,,2023-03-13T09:09:00,2023-03-15T07:58:00,,7441544637,eng,,eutoday.net,,average,average,average,worst,average,low,low,average,average,low,best,low,average,average,high,worst,worst,high,,,,,,
6,/Event/7441544637/7443319366/7444553513,7444553513,Azerbaijan,TR,C14,2023-03-12T17:24:00,2023-03-13T12:23:00,C12,7441544637,eng,,aa.com.tr,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,,Muslim,NATO,,
7,/Event/7441544637/7443319366/7444952530,7444952530,Azerbaijan,TR,C14,2023-03-12T17:24:00,2023-03-13T16:34:00,C12,7441544637,eng,,trtworld.com,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,,Muslim,NATO,,
8,/Event/7441544637/7443319366/7445472327,7445472327,Azerbaijan,TR,C14,2023-03-12T17:24:00,2023-03-14T00:32:00,C12,7441544637,eng,,trtworld.com,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,,Muslim,NATO,,
9,/Event/7441544637/7443319366/7446660240,7446660240,Azerbaijan,TR,C14,2023-03-12T17:24:00,2023-03-14T15:29:00,C12,7441544637,eng,,aa.com.tr,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,,Muslim,NATO,,
10,/Event/7441544637/7443319366/7447131825,7447131825,Azerbaijan,TR,C14,2023-03-12T17:24:00,2023-03-14T21:22:00,C12,7441544637,eng,,aa.com.tr,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,,Muslim,NATO,,
11,/Event/7441544637/7443782249,7443782249,Azerbaijan,AZ,C16,2023-03-11T09:58:00,2023-03-13T02:32:00,C9,7441544637,eng,,en.trend.az,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,CIS,Muslim,,,
12,/Event/7441544637/7443929200,7443929200,Azerbaijan,,,2023-03-11T09:58:00,2023-03-13T05:12:00,,7441544637,eng,,news.az,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,,,,,,
13,/Event/7441544637/7444061888,7444061888,Azerbaijan,AZ,C16,2023-03-11T09:58:00,2023-03-13T07:05:00,C9,7441544637,eng,,en.trend.az,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,CIS,Muslim,,,
14,/Event/7441544637/7444297118,7444297118,Azerbaijan,TR,C14,2023-03-11T09:58:00,2023-03-13T09:48:00,C12,7441544637,eng,,aa.com.tr,,average,average,best,worst,average,low,low,best,average,high,average,low,worst,average,high,average,worst,high,AS,,Muslim,NATO,,
15,/Event/7441544637/7444297118/7445068436,7445068436,Turkey,USA,C4,2023-03-13T09:48:00,2023-03-13T17:58:00,C2,7441544637,eng,,reliefweb.int,,average,average,average,worst,average,low,low,average,average,low,best,low,average,average,high,worst,worst,high,,,Christian,NATO,NAFTA,Eng
16,/Event/7441544637/7444297118/7445493068,7445493068,Turkey,TR,C14,2023-03-13T09:48:00,2023-03-14T00:57:00,C12,7441544637,eng,,aa.com.tr,,average,average,average,worst,average,low,low,average,average,low,best,low,average,average,high,worst,worst,high,AS,,Muslim,NATO,,
