,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,linguisticblocs,politicalregionalblocs,militarydefenseblocs,economicblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7834313701,7834313701,,,,2023-11-14T08:59:51,2023-11-14T08:59:51,,0,eng,,tbsnews.net,,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7834313701/7834352110,7834352110,,BD,C20,2023-11-14T08:59:51,2023-11-14T09:22:46,C5,7834313701,eng,Center-left,dhakatribune.com,ChatGPT,AS,Muslim,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7834313701/7834352110/7837038660,7837038660,Bangladesh,,,2023-11-14T09:22:46,2023-11-15T17:35:47,,7834313701,eng,,bollyinside.com,,,,103.0,126.0,91.0,133.0,106.0,20.0,20.0,133.0,121.0,47.0,106.0,55.0,151.0,125.0,80.0,141.0,112.0,60.0,,,,
4,/Event/7834313701/7835828743,7835828743,,,,2023-11-14T08:59:51,2023-11-15T04:35:52,,7834313701,eng,,tbsnews.net,,,,,,,,,,,,,,,,,,,,,,,,,
5,/Event/7834313701/7835936064,7835936064,,BD,C20,2023-11-14T08:59:51,2023-11-15T06:13:34,C5,7834313701,eng,Center-left,thedailystar.net,ChatGPT,AS,Muslim,,,,,,,,,,,,,,,,,,,,,,
6,/Event/7834313701/7836572091,7836572091,,IN,C18,2023-11-14T08:59:51,2023-11-15T12:48:47,C17,7834313701,eng,,firstpost.com,,AS,Hindu,,,,,,,,,,,,,,,,,,,,,,
7,/Event/7834313701/7836572091/7836946321,7836946321,India,QA,C19,2023-11-15T12:48:47,2023-11-15T16:32:29,C9,7834313701,eng,pro-Qatari-government-Arab-nationalist,aljazeera.com,ChatGPT,AS,Muslim,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,Ara,AL,,
8,/Event/7834313701/7836572091/7836997161,7836997161,India,,,2023-11-15T12:48:47,2023-11-15T17:08:36,,7834313701,eng,,rocketnews.com,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
9,/Event/7834313701/7836572091/7837025598,7837025598,India,IN,C18,2023-11-15T12:48:47,2023-11-15T17:26:07,C17,7834313701,eng,,newindianexpress.com,,AS,Hindu,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
10,/Event/7834313701/7836572091/7837119052,7837119052,India,,,2023-11-15T12:48:47,2023-11-15T18:36:06,,7834313701,eng,,kion546.com,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
11,/Event/7834313701/7836572091/7837715673,7837715673,India,PK,C20,2023-11-15T12:48:47,2023-11-16T04:46:15,C5,7834313701,eng,Center,dawn.com,ChatGPT,AS,Muslim,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,,
