,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,economicblocs,linguisticblocs,militarydefenseblocs,religions,continent
0,/Event,Event,,,,,,,0,,,,,,,,,
1,/Event/2023-11-172322088,2023-11-172322088,,,,2023-11-27T16:10:19,2023-11-27T16:10:19,,0,eng,,espn.com,,,,,,
2,/Event/2023-11-172322088/7857592515,7857592515,,,,2023-11-27T16:10:19,2023-11-27T16:14:21,,2023-11-172322088,eng,,foxsports.com,,,,,,
3,/Event/2023-11-172322088/7857655423,7857655423,,,,2023-11-27T16:10:19,2023-11-27T16:59:40,,2023-11-172322088,eng,,sbisoccer.com,,,,,,
4,/Event/2023-11-172322088/7857684425,7857684425,,,,2023-11-27T16:10:19,2023-11-27T17:21:06,,2023-11-172322088,eng,,nampa.org,,,,,,
5,/Event/2023-11-172322088/7857690454,7857690454,,,,2023-11-27T16:10:19,2023-11-27T17:25:19,,2023-11-172322088,eng,,sports.yahoo.com,,,,,,
6,/Event/2023-11-172322088/7857768889,7857768889,,USA,C4,2023-11-27T16:10:19,2023-11-27T18:29:05,C2,2023-11-172322088,eng,,annistonstar.com,,NAFTA,Eng,NATO,Christian,
7,/Event/2023-11-172322088/7857767341,7857767341,,,,2023-11-27T16:10:19,2023-11-27T18:29:34,,2023-11-172322088,eng,,mycouriertribune.com,,,,,,
8,/Event/2023-11-172322088/7857778272,7857778272,,,,2023-11-27T16:10:19,2023-11-27T18:37:57,,2023-11-172322088,eng,,djournal.com,,,,,,
9,/Event/2023-11-172322088/7857812165,7857812165,,USA,C4,2023-11-27T16:10:19,2023-11-27T19:12:07,C2,2023-11-172322088,eng,,messenger-inquirer.com,,NAFTA,Eng,NATO,Christian,
10,/Event/2023-11-172322088/7857875297,7857875297,,UK,C4,2023-11-27T16:10:19,2023-11-27T20:07:46,C2,2023-11-172322088,eng,,90min.com,,,Eng,NATO,Christian,EU
11,/Event/2023-11-172322088/7863322272,7863322272,,UK,C4,2023-11-27T16:10:19,2023-11-30T18:19:34,C2,2023-11-172322088,eng,Center-left,dailymail.co.uk,ChatGPT,,Eng,NATO,Christian,EU
12,/Event/2023-11-172322088/2023-12-177057547,2023-12-177057547,,,,2023-11-27T16:10:19,2023-12-01T09:12:39,,2023-11-172322088,eng,,clutchpoints.com,,,,,,
