,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,linguisticblocs,militarydefenseblocs,religions,continent
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7878803327,7878803327,United-States,USA,C4,2023-12-10T06:14:26,2023-12-10T06:14:26,C2,0,eng,,sandiegouniontribune.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
2,/Event/7878803327/7878809140,7878809140,United-States,,,2023-12-10T06:14:26,2023-12-10T06:20:42,,7878803327,eng,,nationalpost.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
3,/Event/7878803327/2023-12-186863574,2023-12-186863574,United-States,,,2023-12-10T06:14:26,2023-12-10T06:23:08,,7878803327,eng,,news.yahoo.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
4,/Event/7878803327/7878816009,7878816009,United-States,,,2023-12-10T06:14:26,2023-12-10T06:29:28,,7878803327,eng,,latestly.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
5,/Event/7878803327/7878819692,7878819692,United-States,UK,C4,2023-12-10T06:14:26,2023-12-10T06:33:58,C2,7878803327,eng,Center-left,dailymail.co.uk,ChatGPT,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,Eng,NATO,Christian,EU
6,/Event/7878803327/7878881149,7878881149,United-States,USA,C4,2023-12-10T06:14:26,2023-12-10T07:44:38,C2,7878803327,eng,,keyt.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
7,/Event/7878803327/7878881149/7885199987,7885199987,United-States,,,2023-12-10T07:44:38,2023-12-13T21:11:36,,7878803327,eng,,benarnews.org,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
8,/Event/7878803327/7879111007,7879111007,United-States,,,2023-12-10T06:14:26,2023-12-10T11:13:23,,7878803327,eng,,sunstar.com.ph,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
9,/Event/7878803327/7879527606,7879527606,United-States,IN,C18,2023-12-10T06:14:26,2023-12-10T17:47:02,C17,7878803327,eng,,thehindu.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,Hindu,AS
10,/Event/7878803327/7879954378,7879954378,United-States,IN,C18,2023-12-10T06:14:26,2023-12-11T02:39:50,C17,7878803327,eng,,mid-day.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,Hindu,AS
11,/Event/7878803327/2023-12-187774584,2023-12-187774584,United-States,IN,C18,2023-12-10T06:14:26,2023-12-11T07:20:26,C17,7878803327,eng,Center-left,thewire.in,ChatGPT,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,Hindu,AS
12,/Event/7878803327/7880429676,7880429676,United-States,,,2023-12-10T06:14:26,2023-12-11T09:32:17,,7878803327,eng,,newdelhitimes.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
13,/Event/7878803327/7882741710,7882741710,United-States,DE,C5,2023-12-10T06:14:26,2023-12-12T14:13:03,C2,7878803327,eng,,dw.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,EU,Ger,NATO,Christian,EU
14,/Event/7878803327/7883774536,7883774536,United-States,,,2023-12-10T06:14:26,2023-12-13T05:14:32,,7878803327,eng,,thestreetjournal.org,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
