,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7886810520,7886810520,,,,2023-12-14T17:55:04,2023-12-14T17:55:04,,0,eng,,nampa.org,,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7886810520/7886832740,7886832740,,UK,C4,2023-12-14T17:55:04,2023-12-14T18:09:12,C2,7886810520,eng,,phys.org,,EU,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
3,/Event/7886810520/7886832740/7887451908,7887451908,United-Kingdom,,,2023-12-14T18:09:12,2023-12-15T04:42:51,,7886810520,eng,,urdupoint.com,,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,,
4,/Event/7886810520/2023-12-192504161,2023-12-192504161,,,,2023-12-14T17:55:04,2023-12-14T20:26:56,,7886810520,eng,,citylife.capetown,,,,,,,,,,,,,,,,,,,,,,,,,
5,/Event/7886810520/7887171789,7887171789,,USA,C4,2023-12-14T17:55:04,2023-12-14T23:09:20,C2,7886810520,eng,,voanews.com,,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
6,/Event/7886810520/2023-12-192703805,2023-12-192703805,,USA,C4,2023-12-14T17:55:04,2023-12-15T02:15:59,C2,7886810520,eng,,ibtimes.com,,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
7,/Event/7886810520/2023-12-192703805/7887819180,7887819180,United-States,ZA,C4,2023-12-15T02:15:59,2023-12-15T09:25:52,C17,7886810520,eng,,enca.com,,AF,,,Christian,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,AfCFTA,AU
8,/Event/7886810520/2023-12-192703805/2023-12-193849398,2023-12-193849398,United-States,UK,C4,2023-12-15T02:15:59,2023-12-16T00:33:50,C2,7886810520,eng,,phys.org,,EU,Eng,NATO,Christian,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,
9,/Event/7886810520/7887329264,7887329264,,,,2023-12-14T17:55:04,2023-12-15T02:16:58,,7886810520,eng,,digitaljournal.com,,,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/7886810520/7887329100,7887329100,,,,2023-12-14T17:55:04,2023-12-15T02:17:01,,7886810520,eng,,sg.news.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
11,/Event/7886810520/2023-12-192735746,2023-12-192735746,,AU,C4,2023-12-14T17:55:04,2023-12-15T03:20:16,C2,7886810520,eng,,heraldsun.com.au,,AU,Eng,,Christian,,,,,,,,,,,,,,,,,,,,PIF
12,/Event/7886810520/7887382613,7887382613,,,,2023-12-14T17:55:04,2023-12-15T03:22:48,,7886810520,eng,,spacedaily.com,,,,,,,,,,,,,,,,,,,,,,,,,
13,/Event/7886810520/7887388157,7887388157,,,,2023-12-14T17:55:04,2023-12-15T03:29:37,,7886810520,eng,,djournal.com,,,,,,,,,,,,,,,,,,,,,,,,,
14,/Event/7886810520/7887391009,7887391009,,,,2023-12-14T17:55:04,2023-12-15T03:34:45,,7886810520,eng,,mycouriertribune.com,,,,,,,,,,,,,,,,,,,,,,,,,
15,/Event/7886810520/7887568866,7887568866,,BD,C20,2023-12-14T17:55:04,2023-12-15T06:31:37,C5,7886810520,eng,,bssnews.net,,AS,,,Muslim,,,,,,,,,,,,,,,,,,,,
16,/Event/7886810520/2023-12-193468881,2023-12-193468881,,,,2023-12-14T17:55:04,2023-12-15T15:41:45,,7886810520,eng,,citylife.capetown,,,,,,,,,,,,,,,,,,,,,,,,,
17,/Event/7886810520/7888975744,7888975744,,PK,C20,2023-12-14T17:55:04,2023-12-15T23:54:37,C5,7886810520,eng,,nation.com.pk,,AS,,,Muslim,,,,,,,,,,,,,,,,,,,,
