,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,religions
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7895703090,7895703090,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-20T08:31:40,C5,0,eng,Center,dawn.com,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
2,/Event/7895703090/7895798440,7895798440,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-20T09:32:26,C5,7895703090,eng,Center,geo.tv,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
3,/Event/7895703090/7895941027,7895941027,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-20T11:00:12,C5,7895703090,eng,Center-right,thenews.com.pk,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
4,/Event/7895703090/7896014647,7896014647,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-20T11:44:31,C5,7895703090,eng,,tribune.com.pk,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
5,/Event/7895703090/7896055828,7896055828,Pakistan,,,2023-12-20T08:31:40,2023-12-20T12:10:27,,7895703090,eng,,humnews.pk,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,,
6,/Event/7895703090/7896672655,7896672655,Pakistan,,,2023-12-20T08:31:40,2023-12-20T19:08:30,,7895703090,eng,,urdupoint.com,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,,
7,/Event/7895703090/7896999027,7896999027,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-21T00:46:48,C5,7895703090,eng,,nation.com.pk,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
8,/Event/7895703090/7900752762,7900752762,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-23T08:31:32,C5,7895703090,eng,,arynews.tv,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
9,/Event/7895703090/7900787887,7900787887,Pakistan,,,2023-12-20T08:31:40,2023-12-23T09:00:36,,7895703090,eng,,humnews.pk,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,,
10,/Event/7895703090/7900872309,7900872309,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-23T10:18:10,C5,7895703090,eng,,khybernews.tv,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
11,/Event/7895703090/7900873907,7900873907,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-23T10:19:14,C5,7895703090,eng,,pakobserver.net,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
12,/Event/7895703090/7900876576,7900876576,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-23T10:23:23,C5,7895703090,eng,,nation.com.pk,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
13,/Event/7895703090/7901002675,7901002675,Pakistan,PK-UAE,,2023-12-20T08:31:40,2023-12-23T12:19:41,,7895703090,eng,,geo.tv,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
14,/Event/7895703090/7901022830,7901022830,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-23T12:43:24,C5,7895703090,eng,Center-right,thenews.com.pk,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
15,/Event/7895703090/7901047992,7901047992,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-23T13:03:59,C5,7895703090,eng,,thefrontierpost.com,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
16,/Event/7895703090/7901359836,7901359836,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-23T18:23:35,C5,7895703090,eng,,thefrontierpost.com,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
17,/Event/7895703090/7901678905,7901678905,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-24T02:21:03,C5,7895703090,eng,Center-right,thenews.com.pk,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
18,/Event/7895703090/7901680907,7901680907,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-24T02:29:10,C5,7895703090,eng,,pakobserver.net,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
19,/Event/7895703090/7901729771,7901729771,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-24T03:47:57,C5,7895703090,eng,Center,dawn.com,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
20,/Event/7895703090/7901809549,7901809549,Pakistan,PK,C20,2023-12-20T08:31:40,2023-12-24T05:40:10,C5,7895703090,eng,,tribune.com.pk,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim
