,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,economicblocs,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/8085967986,8085967986,,,,2024-04-18T14:01:09,2024-04-18T14:01:09,,0,eng,,tvline.com,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/8085967986/8085973421,8085973421,,USA,C4,2024-04-18T14:01:09,2024-04-18T14:04:19,C2,8085967986,eng,,avclub.com,,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,
3,/Event/8085967986/8085973421/8085988499,8085988499,United-States,,,2024-04-18T14:04:19,2024-04-18T14:12:33,,8085967986,eng,,collider.com,,,,,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,
4,/Event/8085967986/8085973421/327338874,327338874,United-States,USA,C4,2024-04-18T14:04:19,2024-04-18T14:13:19,C2,8085967986,eng,,deadline.com,,NAFTA,Eng,NATO,Christian,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,
5,/Event/8085967986/8085973421/8086444356,8086444356,United-States,,,2024-04-18T14:04:19,2024-04-18T19:53:56,,8085967986,eng,,themarysue.com,,,,,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,
6,/Event/8085967986/8086051783,8086051783,,,,2024-04-18T14:01:09,2024-04-18T14:53:09,,8085967986,eng,,vulture.com,,,,,,,,,,,,,,,,,,,,,,,,
7,/Event/8085967986/8086064864,8086064864,,,,2024-04-18T14:01:09,2024-04-18T15:01:54,,8085967986,eng,,chortle.co.uk,,,,,,,,,,,,,,,,,,,,,,,,
8,/Event/8085967986/8086064864/8086170236,8086170236,,,,2024-04-18T15:01:54,2024-04-18T16:13:00,,8085967986,eng,,yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,
9,/Event/8085967986/8086177299,8086177299,,,,2024-04-18T14:01:09,2024-04-18T16:16:30,,8085967986,eng,,upi.com,,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/8085967986/327488554,327488554,,,,2024-04-18T14:01:09,2024-04-18T16:21:43,,8085967986,eng,,kentucky.com,,,,,,,,,,,,,,,,,,,,,,,,
11,/Event/8085967986/8086284779,8086284779,,,,2024-04-18T14:01:09,2024-04-18T17:36:37,,8085967986,eng,,realitytvworld.com,,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/8085967986/8087407029,8087407029,,PK,C20,2024-04-18T14:01:09,2024-04-19T10:22:47,C5,8085967986,eng,,tribune.com.pk,,,,,Muslim,,,,,,,,,,,,,,,,,,,AS
13,/Event/8085967986/8087436708,8087436708,,PK,C20,2024-04-18T14:01:09,2024-04-19T10:41:36,C5,8085967986,eng,Center,pakistantoday.com.pk,ChatGPT,,,,Muslim,,,,,,,,,,,,,,,,,,,AS
14,/Event/8085967986/328532190,328532190,,,,2024-04-18T14:01:09,2024-04-19T13:16:51,,8085967986,eng,,bleedingcool.com,,,,,,,,,,,,,,,,,,,,,,,,
15,/Event/8085967986/8087813044,8087813044,,PK,C20,2024-04-18T14:01:09,2024-04-19T14:46:52,C5,8085967986,eng,,arynews.tv,,,,,Muslim,,,,,,,,,,,,,,,,,,,AS
16,/Event/8085967986/8087825973,8087825973,,,,2024-04-18T14:01:09,2024-04-19T14:53:42,,8085967986,eng,,gg2.net,,,,,,,,,,,,,,,,,,,,,,,,
17,/Event/8085967986/8087836994,8087836994,,PK,C20,2024-04-18T14:01:09,2024-04-19T15:01:50,C5,8085967986,eng,,suchtv.pk,,,,,Muslim,,,,,,,,,,,,,,,,,,,AS
18,/Event/8085967986/8087841951,8087841951,,PK,C20,2024-04-18T14:01:09,2024-04-19T15:05:07,C5,8085967986,eng,,en.dailypakistan.com.pk,,,,,Muslim,,,,,,,,,,,,,,,,,,,AS
19,/Event/8085967986/328986005,328986005,,PK,C20,2024-04-18T14:01:09,2024-04-19T22:03:42,C5,8085967986,eng,,dailytimes.com.pk,,,,,Muslim,,,,,,,,,,,,,,,,,,,AS
20,/Event/8085967986/8089028471,8089028471,,,,2024-04-18T14:01:09,2024-04-20T13:12:48,,8085967986,eng,,tvseriesfinale.com,,,,,,,,,,,,,,,,,,,,,,,,
