,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,religions,economicblocs,linguisticblocs,militarydefenseblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/8100426005,8100426005,India,IN,C18,2024-04-27T18:18:46,2024-04-27T18:18:46,C17,0,eng,,aninews.in,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
2,/Event/8100426005/8100452721,8100452721,India,,,2024-04-27T18:18:46,2024-04-27T18:49:38,,8100426005,eng,,latestly.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
3,/Event/8100426005/8100698159,8100698159,India,,,2024-04-27T18:18:46,2024-04-28T00:31:05,,8100426005,eng,,indiatoday.in,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
4,/Event/8100426005/8100698159/341121763,341121763,,IN,C18,2024-04-28T00:31:05,2024-05-01T00:37:05,C17,8100426005,eng,,dailyexcelsior.com,,,,,,,,,,,,,,,,,,,,AS,Hindu,,,
5,/Event/8100426005/8101098703,8101098703,India,IN,C18,2024-04-27T18:18:46,2024-04-28T08:45:20,C17,8100426005,eng,,mid-day.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
6,/Event/8100426005/338560072,338560072,India,IN,C18,2024-04-27T18:18:46,2024-04-28T20:06:32,C17,8100426005,eng,,risingkashmir.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
7,/Event/8100426005/338560072/8103839593,8103839593,India,PK,C20,2024-04-28T20:06:32,2024-04-30T03:22:29,C5,8100426005,eng,,pakobserver.net,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Muslim,,,
8,/Event/8100426005/8102093326,8102093326,India,PK,C20,2024-04-27T18:18:46,2024-04-29T03:10:35,C5,8100426005,eng,,pakobserver.net,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Muslim,,,
9,/Event/8100426005/8102544206,8102544206,India,,,2024-04-27T18:18:46,2024-04-29T09:17:57,,8100426005,eng,,newsdrum.in,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
10,/Event/8100426005/8102544206/8105700362,8105700362,,,,2024-04-29T09:17:57,2024-05-01T04:48:29,,8100426005,eng,,en.etemaaddaily.com,,,,,,,,,,,,,,,,,,,,,,,,
11,/Event/8100426005/8102555975,8102555975,India,,,2024-04-27T18:18:46,2024-04-29T09:26:06,,8100426005,eng,,devdiscourse.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
12,/Event/8100426005/339071153,339071153,India,IN,C18,2024-04-27T18:18:46,2024-04-29T09:44:14,C17,8100426005,eng,,business-standard.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
13,/Event/8100426005/339097141,339097141,India,,,2024-04-27T18:18:46,2024-04-29T10:05:55,,8100426005,eng,,telegraphindia.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
14,/Event/8100426005/8102650049,8102650049,India,IN,C18,2024-04-27T18:18:46,2024-04-29T10:24:18,C17,8100426005,eng,,deccanherald.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
15,/Event/8100426005/339137567,339137567,India,IN,C18,2024-04-27T18:18:46,2024-04-29T10:40:35,C17,8100426005,eng,,mid-day.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
16,/Event/8100426005/339381672,339381672,India,IN,C18,2024-04-27T18:18:46,2024-04-29T14:05:53,C17,8100426005,eng,,indiatvnews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
17,/Event/8100426005/8103028252,8103028252,India,IN,C18,2024-04-27T18:18:46,2024-04-29T14:20:40,C17,8100426005,eng,,risingkashmir.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
18,/Event/8100426005/8103385432,8103385432,India,IN,C18,2024-04-27T18:18:46,2024-04-29T18:46:31,C17,8100426005,eng,,risingkashmir.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
19,/Event/8100426005/339671545,339671545,India,,,2024-04-27T18:18:46,2024-04-29T19:04:23,,8100426005,eng,,indiagazette.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
20,/Event/8100426005/8103415914,8103415914,India,IN,C18,2024-04-27T18:18:46,2024-04-29T19:13:00,C17,8100426005,eng,Independent,greaterkashmir.com,https:en.wikipedia.orgwikiGreater_Kashmir,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
21,/Event/8100426005/8103500548,8103500548,India,IN,C18,2024-04-27T18:18:46,2024-04-29T20:33:35,C17,8100426005,eng,Independent,greaterkashmir.com,https:en.wikipedia.orgwikiGreater_Kashmir,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
22,/Event/8100426005/8103829641,8103829641,India,IN,C18,2024-04-27T18:18:46,2024-04-30T03:10:50,C17,8100426005,eng,,hindustantimes.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
23,/Event/8100426005/8103926462,8103926462,India,IN,C18,2024-04-27T18:18:46,2024-04-30T04:48:53,C17,8100426005,eng,Indian-National-Congress,nationalheraldindia.com,https:en.wikipedia.orgwikiNational_Herald,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
24,/Event/8100426005/8104218748,8104218748,India,,,2024-04-27T18:18:46,2024-04-30T08:21:54,,8100426005,eng,,voiceofvienna.org,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
25,/Event/8100426005/8104263788,8104263788,India,IN,C18,2024-04-27T18:18:46,2024-04-30T08:50:42,C17,8100426005,eng,,news18.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
26,/Event/8100426005/8104321531,8104321531,India,USA,C4,2024-04-27T18:18:46,2024-04-30T09:25:46,C2,8100426005,eng,,tvguide.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Christian,NAFTA,Eng,NATO
27,/Event/8100426005/8104342694,8104342694,India,IN,C18,2024-04-27T18:18:46,2024-04-30T09:39:07,C17,8100426005,eng,,firstpost.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
28,/Event/8100426005/8104785446,8104785446,India,,,2024-04-27T18:18:46,2024-04-30T14:06:49,,8100426005,eng,,frontline.thehindu.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
29,/Event/8100426005/8104824861,8104824861,India,,,2024-04-27T18:18:46,2024-04-30T14:32:16,,8100426005,eng,,thestatesman.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
30,/Event/8100426005/8104870429,8104870429,India,IN,C18,2024-04-27T18:18:46,2024-04-30T15:03:08,C17,8100426005,eng,,thekashmirimages.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
31,/Event/8100426005/8104872042,8104872042,India,IN,C18,2024-04-27T18:18:46,2024-04-30T15:04:10,C17,8100426005,eng,Independent,greaterkashmir.com,https:en.wikipedia.orgwikiGreater_Kashmir,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
32,/Event/8100426005/8104881306,8104881306,India,,,2024-04-27T18:18:46,2024-04-30T15:11:08,,8100426005,eng,,latestly.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
33,/Event/8100426005/8104888376,8104888376,India,,,2024-04-27T18:18:46,2024-04-30T15:14:21,,8100426005,eng,,kashmirobserver.net,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
34,/Event/8100426005/8104897314,8104897314,India,,,2024-04-27T18:18:46,2024-04-30T15:20:23,,8100426005,eng,,moneycontrol.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
35,/Event/8100426005/8104902736,8104902736,India,IN,C18,2024-04-27T18:18:46,2024-04-30T15:24:10,C17,8100426005,eng,,timesnownews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
36,/Event/8100426005/8104914061,8104914061,India,IN,C18,2024-04-27T18:18:46,2024-04-30T15:31:04,C17,8100426005,eng,,news18.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
37,/Event/8100426005/8104924170,8104924170,India,,,2024-04-27T18:18:46,2024-04-30T15:37:41,,8100426005,eng,,india.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
38,/Event/8100426005/8104929148,8104929148,India,IN,C18,2024-04-27T18:18:46,2024-04-30T15:41:45,C17,8100426005,eng,,aninews.in,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
39,/Event/8100426005/8104931153,8104931153,India,IN,C18,2024-04-27T18:18:46,2024-04-30T15:43:10,C17,8100426005,eng,,thehindu.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
40,/Event/8100426005/340738452,340738452,India,IN,C18,2024-04-27T18:18:46,2024-04-30T15:43:52,C17,8100426005,eng,,dailyexcelsior.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
41,/Event/8100426005/8104937712,8104937712,India,,,2024-04-27T18:18:46,2024-04-30T15:47:47,,8100426005,eng,,devdiscourse.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
42,/Event/8100426005/340749081,340749081,India,IN,C18,2024-04-27T18:18:46,2024-04-30T15:54:19,C17,8100426005,eng,Center-left,indianexpress.com,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
43,/Event/8100426005/8104949356,8104949356,India,,,2024-04-27T18:18:46,2024-04-30T15:56:14,,8100426005,eng,,thestatesman.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
44,/Event/8100426005/8104956037,8104956037,India,IN,C18,2024-04-27T18:18:46,2024-04-30T16:01:04,C17,8100426005,eng,,ndtv.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
45,/Event/8100426005/340758581,340758581,India,IN,C18,2024-04-27T18:18:46,2024-04-30T16:03:09,C17,8100426005,eng,,republicworld.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
46,/Event/8100426005/8104960431,8104960431,India,IN,C18,2024-04-27T18:18:46,2024-04-30T16:04:02,C17,8100426005,eng,Indian-National-Congress,nationalheraldindia.com,https:en.wikipedia.orgwikiNational_Herald,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
47,/Event/8100426005/8104964772,8104964772,India,,,2024-04-27T18:18:46,2024-04-30T16:06:55,,8100426005,eng,,latestly.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
48,/Event/8100426005/340763096,340763096,India,IN,C18,2024-04-27T18:18:46,2024-04-30T16:06:58,C17,8100426005,eng,,indiatvnews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
49,/Event/8100426005/8104964771,8104964771,India,,,2024-04-27T18:18:46,2024-04-30T16:07:13,,8100426005,eng,,latestly.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
50,/Event/8100426005/340763520,340763520,India,,,2024-04-27T18:18:46,2024-04-30T16:07:29,,8100426005,eng,,tribuneindia.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
51,/Event/8100426005/8104964766,8104964766,India,,,2024-04-27T18:18:46,2024-04-30T16:07:35,,8100426005,eng,,latestly.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
52,/Event/8100426005/8104987499,8104987499,India,,,2024-04-27T18:18:46,2024-04-30T16:22:33,,8100426005,eng,,devdiscourse.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
53,/Event/8100426005/8104990952,8104990952,India,,,2024-04-27T18:18:46,2024-04-30T16:25:17,,8100426005,eng,,etvbharat.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
54,/Event/8100426005/8104991597,8104991597,India,IN,C18,2024-04-27T18:18:46,2024-04-30T16:25:51,C17,8100426005,eng,,uniindia.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
55,/Event/8100426005/340790282,340790282,India,IN,C18,2024-04-27T18:18:46,2024-04-30T16:34:03,C17,8100426005,eng,Center-left,zeenews.india.com,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
56,/Event/8100426005/8105003445,8105003445,India,IN,C18,2024-04-27T18:18:46,2024-04-30T16:34:43,C17,8100426005,eng,,economictimes.indiatimes.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Hindu,,,
57,/Event/8100426005/8105027859,8105027859,India,,,2024-04-27T18:18:46,2024-04-30T16:51:39,,8100426005,eng,,news9live.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
58,/Event/8100426005/340809432,340809432,India,,,2024-04-27T18:18:46,2024-04-30T16:53:37,,8100426005,eng,,ptcnews.tv,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
59,/Event/8100426005/340813519,340813519,India,,,2024-04-27T18:18:46,2024-04-30T16:57:45,,8100426005,eng,,socialnews.xyz,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
60,/Event/8100426005/8105040785,8105040785,India,,,2024-04-27T18:18:46,2024-04-30T17:01:55,,8100426005,eng,,newsdrum.in,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,
