,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,linguisticblocs,militarydefenseblocs,religions,continent,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/344950885,344950885,United-States,USA,C4,2024-05-04T13:23:37,2024-05-04T13:23:37,C2,0,eng,,usnews.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,NAFTA,Eng,NATO,Christian,,
2,/Event/344950885/8111347634,8111347634,United-States,,,2024-05-04T13:23:37,2024-05-04T16:43:28,,344950885,eng,,theprint.in,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
3,/Event/344950885/8112742548,8112742548,United-States,CN,C18,2024-05-04T13:23:37,2024-05-05T19:43:44,C9,344950885,eng,,investing.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,Irreligion,AS,
4,/Event/344950885/8112742548/8113187376,8113187376,China,USA,C4,2024-05-05T19:43:44,2024-05-06T05:31:03,C2,344950885,eng,,finance.yahoo.com,,best,average,best,average,best,low,low,average,best,high,best,high,worst,average,high,average,best,low,NAFTA,Eng,NATO,Christian,,
5,/Event/344950885/8112742548/8113530394,8113530394,China,UK,C4,2024-05-05T19:43:44,2024-05-06T09:44:34,C2,344950885,eng,Center-right,ft.com,ChatGPT,best,average,best,average,best,low,low,average,best,high,best,high,worst,average,high,average,best,low,,Eng,NATO,Christian,EU,
6,/Event/344950885/8112742548/8113580054,8113580054,China,,,2024-05-05T19:43:44,2024-05-06T10:15:59,,344950885,eng,,telecom.economictimes.indiatimes.com,,best,average,best,average,best,low,low,average,best,high,best,high,worst,average,high,average,best,low,,,,,,
7,/Event/344950885/8112742548/346531173,346531173,China,,,2024-05-05T19:43:44,2024-05-06T13:21:51,,344950885,eng,,insidethegames.biz,,best,average,best,average,best,low,low,average,best,high,best,high,worst,average,high,average,best,low,,,,,,
8,/Event/344950885/8112742548/346675519,346675519,China,USA,C4,2024-05-05T19:43:44,2024-05-06T15:32:28,C2,344950885,eng,,uk.finance.yahoo.com,,best,average,best,average,best,low,low,average,best,high,best,high,worst,average,high,average,best,low,NAFTA,Eng,NATO,Christian,,
9,/Event/344950885/345869271,345869271,United-States,,,2024-05-04T13:23:37,2024-05-05T19:44:57,,344950885,eng,,money.usnews.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
10,/Event/344950885/8113415587,8113415587,United-States,NG,C12,2024-05-04T13:23:37,2024-05-06T08:27:55,C5,344950885,eng,,legit.ng,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,AfCFTA,,,Muslim,AF,AU
11,/Event/344950885/8113415587/8113662513,8113662513,Nigeria,,,2024-05-06T08:27:55,2024-05-06T11:10:11,,344950885,eng,,todayheadline.co,,worst,worst,worst,worst,worst,low,high,worst,worst,low,worst,high,worst,average,high,worst,average,high,,,,,,
12,/Event/344950885/8113415587/8114247236,8114247236,Nigeria,IN,C18,2024-05-06T08:27:55,2024-05-06T17:59:57,C17,344950885,eng,fiscally-conservative-socially-liberal,livemint.com,https:en.wikipedia.orgwikiMint_(newspaper),worst,worst,worst,worst,worst,low,high,worst,worst,low,worst,high,worst,average,high,worst,average,high,,,,Hindu,AS,
13,/Event/344950885/8113415587/8114307205,8114307205,Nigeria,,,2024-05-06T08:27:55,2024-05-06T18:52:56,,344950885,eng,,theprint.in,,worst,worst,worst,worst,worst,low,high,worst,worst,low,worst,high,worst,average,high,worst,average,high,,,,,,
14,/Event/344950885/8113415587/347043155,347043155,Nigeria,MY,C18,2024-05-06T08:27:55,2024-05-06T23:55:26,C9,344950885,eng,Center-right,thestar.com.my,ChatGPT,worst,worst,worst,worst,worst,low,high,worst,worst,low,worst,high,worst,average,high,worst,average,high,ASEAN,,,Muslim,AS,
15,/Event/344950885/8113415587/8115101048,8115101048,Nigeria,,,2024-05-06T08:27:55,2024-05-07T07:59:39,,344950885,eng,,techmonitor.ai,,worst,worst,worst,worst,worst,low,high,worst,worst,low,worst,high,worst,average,high,worst,average,high,,,,,,
16,/Event/344950885/8113415587/8116719379,8116719379,Nigeria,FR,C14,2024-05-06T08:27:55,2024-05-08T05:38:44,C2,344950885,eng,,euronews.com,,worst,worst,worst,worst,worst,low,high,worst,worst,low,worst,high,worst,average,high,worst,average,high,EU,Fre,NATO,Christian,EU,
17,/Event/344950885/8113415587/348676331,348676331,Nigeria,,,2024-05-06T08:27:55,2024-05-08T08:06:42,,344950885,eng,,channeleye.co.uk,,worst,worst,worst,worst,worst,low,high,worst,worst,low,worst,high,worst,average,high,worst,average,high,,,,,,
18,/Event/344950885/8113502649,8113502649,United-States,,,2024-05-04T13:23:37,2024-05-06T09:27:18,,344950885,eng,,reformer.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
19,/Event/344950885/346268735,346268735,United-States,,,2024-05-04T13:23:37,2024-05-06T09:27:46,,344950885,eng,,wataugademocrat.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
20,/Event/344950885/346289983,346289983,United-States,,,2024-05-04T13:23:37,2024-05-06T09:45:17,,344950885,eng,,kulr8.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
21,/Event/344950885/8113773800,8113773800,United-States,,,2024-05-04T13:23:37,2024-05-06T12:22:40,,344950885,eng,,spacedaily.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
22,/Event/344950885/8113790552,8113790552,United-States,,,2024-05-04T13:23:37,2024-05-06T12:35:14,,344950885,eng,,urdupoint.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
23,/Event/344950885/8114122210,8114122210,United-States,PH,C18,2024-05-04T13:23:37,2024-05-06T16:19:22,C18,344950885,eng,Center-right,manilatimes.net,ChatGPT,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,ASEAN,,,Christian,AS,
24,/Event/344950885/8114133604,8114133604,United-States,,,2024-05-04T13:23:37,2024-05-06T16:27:45,,344950885,eng,,digitaljournal.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
25,/Event/344950885/8114582909,8114582909,United-States,,,2024-05-04T13:23:37,2024-05-06T23:47:00,,344950885,eng,,malaymail.com,,best,best,best,best,average,high,high,best,best,low,best,high,best,best,low,average,best,low,,,,,,
26,/Event/8112620483,8112620483,,,,2024-05-05T17:24:07,2024-05-05T17:24:07,,0,eng,,bnnbloomberg.ca,,,,,,,,,,,,,,,,,,,,,,,,,
27,/Event/8112620483/8113163212,8113163212,,,,2024-05-05T17:24:07,2024-05-06T05:09:10,,8112620483,eng,,wallstreet-online.de,,,,,,,,,,,,,,,,,,,,,,,,,
28,/Event/8112620483/8113163212/8113223323,8113223323,,,,2024-05-06T05:09:10,2024-05-06T06:04:01,,8112620483,eng,,itnewsonline.com,,,,,,,,,,,,,,,,,,,,,,,,,
29,/Event/8112620483/8113163212/8113230314,8113230314,,,,2024-05-06T05:09:10,2024-05-06T06:09:07,,8112620483,eng,,telecom.economictimes.indiatimes.com,,,,,,,,,,,,,,,,,,,,,,,,,
30,/Event/8112620483/8113210703,8113210703,,USA,C4,2024-05-05T17:24:07,2024-05-06T05:51:42,C2,8112620483,eng,,finance.yahoo.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,,
31,/Event/8112620483/346054614,346054614,,USA,C4,2024-05-05T17:24:07,2024-05-06T07:14:24,C2,8112620483,eng,,ca.finance.yahoo.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,,
