,index,date,Accumulative_count_2,Religions
0,0,2023-03-11,4,Muslim
1,1,2023-03-12,7,Muslim
2,2,2023-03-13,18,Muslim
3,3,2023-03-14,14,Muslim
4,4,2023-03-10,0,Muslim
5,0,2023-03-10,1,Hindu
6,1,2023-03-11,1,Hindu
7,2,2023-03-12,2,Hindu
8,3,2023-03-13,8,Hindu
9,4,2023-03-14,4,Hindu
10,0,2023-03-10,2,Christian
11,1,2023-03-11,11,Christian
12,2,2023-03-12,19,Christian
13,3,2023-03-13,64,Christian
14,4,2023-03-14,50,Christian
15,0,2023-03-12,2,Irreligion
16,1,2023-03-13,5,Irreligion
17,2,2023-03-14,1,Irreligion
18,3,2023-03-10,0,Irreligion
19,4,2023-03-11,0,Irreligion
20,0,2023-03-12,2,Buddhist
21,1,2023-03-13,4,Buddhist
22,2,2023-03-14,1,Buddhist
23,3,2023-03-10,0,Buddhist
24,4,2023-03-11,0,Buddhist
