,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,economicblocs,linguisticblocs,politicalregionalblocs,religions,militarydefenseblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7434803497,7434803497,Egypt,EG,C19,2023-03-07T13:15:00,2023-03-07T13:15:00,C5,0,eng,Uncertain,english.ahram.org.eg,https:en.wikipedia.orgwikiAl-Ahram,136.0,105.0,62.0,140.0,107.0,37.0,0.0,86.0,93.0,42.0,82.0,55.0,156.0,160.0,80.0,142.0,161.0,55.0,AF,AfCFTA,Ara,AU,Muslim,
2,/Event/7434803497/7434902946,7434902946,Egypt,UK,C4,2023-03-07T13:15:00,2023-03-07T14:20:00,C2,7434803497,eng,,middleeasteye.net,,136.0,105.0,62.0,140.0,107.0,37.0,0.0,86.0,93.0,42.0,82.0,55.0,156.0,160.0,80.0,142.0,161.0,55.0,EU,,Eng,,Christian,NATO
3,/Event/7434803497/7434922097,7434922097,Egypt,,,2023-03-07T13:15:00,2023-03-07T14:33:00,,7434803497,eng,,newarab.com,,136.0,105.0,62.0,140.0,107.0,37.0,0.0,86.0,93.0,42.0,82.0,55.0,156.0,160.0,80.0,142.0,161.0,55.0,,,,,,
4,/Event/7434803497/7434922097/7434915558,7434915558,,USA,C4,2023-03-07T14:33:00,2023-03-07T14:35:00,C2,7434803497,eng,,keyt.com,,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,,Christian,NATO
5,/Event/7434803497/7434922097/7434915558/7434927261,7434927261,United-States,AE,C19,2023-03-07T14:35:00,2023-03-07T14:36:00,C9,7434803497,eng,Pro-government,thenationalnews.com,https:en.wikipedia.orgwikiThe_National_(Abu_Dhabi),16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,AS,?,Ara,AL,Muslim,?
6,/Event/7434803497/7434922097/7434915558/7434927261/7435297359,7435297359,United-Arab-Emirates,USA,C4,2023-03-07T14:36:00,2023-03-07T19:16:00,C2,7434803497,eng,,mondoweiss.net,,26.0,42.0,22.0,38.0,33.0,36.0,22.0,32.0,47.0,22.0,22.0,52.0,119.0,146.0,74.0,50.0,78.0,66.0,,NAFTA,Eng,,Christian,NATO
7,/Event/7434803497/7434922097/7434915558/7434946735,7434946735,United-States,,,2023-03-07T14:35:00,2023-03-07T14:50:00,,7434803497,eng,,petra.gov.jo,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,,
8,/Event/7434803497/7434922097/7434915558/7435073751,7435073751,United-States,,,2023-03-07T14:35:00,2023-03-07T16:17:00,,7434803497,eng,,petra.gov.jo,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,,
9,/Event/7434803497/7434922097/7434949877,7434949877,,,,2023-03-07T14:33:00,2023-03-07T14:53:00,,7434803497,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/7434803497/7434922097/7434949877/7434961181,7434961181,,IL,C9,2023-03-07T14:53:00,2023-03-07T15:01:00,C1,7434803497,eng,Center,timesofisrael.com,ChatGPT,,,,,,,,,,,,,,,,,,,AS,,,,Jewish,
11,/Event/7434803497/7434922097/7434949877/7434994727,7434994727,,,,2023-03-07T14:53:00,2023-03-07T15:23:00,,7434803497,eng,,palestinechronicle.com,,,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/7434803497/7434922097/7434949877/7435008851,7435008851,,,,2023-03-07T14:53:00,2023-03-07T15:32:00,,7434803497,eng,,en.haberler.com,,,,,,,,,,,,,,,,,,,,,,,,,
