,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,economicblocs,linguisticblocs,militarydefenseblocs,religions,continent,politicalregionalblocs,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7432248591,7432248591,,,,2023-03-05T23:04:00,2023-03-05T23:04:00,,0,eng,,heritage.org,,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7432248591/7434336748,7434336748,,,,2023-03-05T23:04:00,2023-03-07T07:53:00,,7432248591,eng,,nationalpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7432248591/7434336748/7434338257,7434338257,,USA,C4,2023-03-07T07:53:00,2023-03-07T07:55:00,C2,7432248591,eng,Center-left,cbsnews.com,ChatGPT,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
4,/Event/7432248591/7434336748/7434343094,7434343094,,IN,C18,2023-03-07T07:53:00,2023-03-07T08:01:00,C17,7432248591,eng,,hindustantimes.com,,,,,Hindu,AS,,,,,,,,,,,,,,,,,,,
5,/Event/7432248591/7434336748/7434365269,7434365269,,AE,C19,2023-03-07T07:53:00,2023-03-07T08:14:00,C9,7432248591,eng,Pro-government,thenationalnews.com,https:en.wikipedia.orgwikiThe_National_(Abu_Dhabi),?,Ara,?,Muslim,AS,AL,,,,,,,,,,,,,,,,,,
6,/Event/7432248591/7434336748/7434426350,7434426350,,,,2023-03-07T07:53:00,2023-03-07T09:02:00,,7432248591,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
7,/Event/7432248591/7434336748/7434426350/7434437772,7434437772,,USA,C4,2023-03-07T09:02:00,2023-03-07T09:08:00,C2,7432248591,eng,Center-left,washingtonpost.com,ChatGPT,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
8,/Event/7432248591/7434336748/7434426350/7434483645,7434483645,,EG,C19,2023-03-07T09:02:00,2023-03-07T09:41:00,C5,7432248591,eng,Uncertain,english.ahram.org.eg,https:en.wikipedia.orgwikiAl-Ahram,AfCFTA,Ara,,Muslim,AF,AU,,,,,,,,,,,,,,,,,,
9,/Event/7432248591/7434336748/7434440845,7434440845,,USA,C4,2023-03-07T07:53:00,2023-03-07T09:10:00,C2,7432248591,eng,Center-left,foxnews.com,ChatGPT,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
10,/Event/7432248591/7434336748/7434442582,7434442582,,,,2023-03-07T07:53:00,2023-03-07T09:11:00,,7432248591,eng,,federalnewsnetwork.com,,,,,,,,,,,,,,,,,,,,,,,,,
11,/Event/7432248591/7434336748/7434465778,7434465778,,,,2023-03-07T07:53:00,2023-03-07T09:29:00,,7432248591,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/7432248591/7434336748/7434478094,7434478094,,USA,C4,2023-03-07T07:53:00,2023-03-07T09:37:00,C2,7432248591,eng,,voanews.com,,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
13,/Event/7432248591/7434336748/7434496838,7434496838,,JO,C20,2023-03-07T07:53:00,2023-03-07T09:50:00,C15,7432248591,eng,,albawaba.com,,,Ara,,Muslim,AS,AL,,,,,,,,,,,,,,,,,,
14,/Event/7432248591/7434336748/7434499245,7434499245,,,,2023-03-07T07:53:00,2023-03-07T09:52:00,,7432248591,eng,,today.rtl.lu,,,,,,,,,,,,,,,,,,,,,,,,,
15,/Event/7432248591/7434336748/7434504086,7434504086,,,,2023-03-07T07:53:00,2023-03-07T09:56:00,,7432248591,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
16,/Event/7432248591/7434336748/7434511286,7434511286,,,,2023-03-07T07:53:00,2023-03-07T10:01:00,,7432248591,eng,,ifpnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
17,/Event/7432248591/7434336748/7434543029,7434543029,,,,2023-03-07T07:53:00,2023-03-07T10:22:00,,7432248591,eng,,kion546.com,,,,,,,,,,,,,,,,,,,,,,,,,
18,/Event/7432248591/7434336748/7434570610,7434570610,,IQ,C15,2023-03-07T07:53:00,2023-03-07T10:39:00,C5,7432248591,eng,Center,iraqinews.com,ChatGPT,,Ara,,Muslim,AS,AL,,,,,,,,,,,,,,,,,,
19,/Event/7432248591/7434336748/7434592164,7434592164,,IN,C18,2023-03-07T07:53:00,2023-03-07T10:54:00,C17,7432248591,eng,,republicworld.com,,,,,Hindu,AS,,,,,,,,,,,,,,,,,,,
20,/Event/7432248591/7434336748/7434597867,7434597867,,RU,C16,2023-03-07T07:53:00,2023-03-07T10:58:00,C12,7432248591,eng,State-controlled,rt.com,ChatGPT,,,CSTO,Christian,AS,CIS,,,,,,,,,,,,,,,,,,
21,/Event/7432248591/7434336748/7434617803,7434617803,,,,2023-03-07T07:53:00,2023-03-07T11:11:00,,7432248591,eng,,forbes.com,,,,,,,,,,,,,,,,,,,,,,,,,
22,/Event/7432248591/7434336748/7434624732,7434624732,,USA,C4,2023-03-07T07:53:00,2023-03-07T11:15:00,C2,7432248591,eng,,edition.cnn.com,,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
23,/Event/7432248591/7434336748/7434636130,7434636130,,,,2023-03-07T07:53:00,2023-03-07T11:22:00,,7432248591,eng,,themedialine.org,,,,,,,,,,,,,,,,,,,,,,,,,
24,/Event/7432248591/7434336748/7434639724,7434639724,,,,2023-03-07T07:53:00,2023-03-07T11:24:00,,7432248591,eng,,realnewsmagazine.net,,,,,,,,,,,,,,,,,,,,,,,,,
25,/Event/7432248591/7434336748/7434654653,7434654653,,IN,C18,2023-03-07T07:53:00,2023-03-07T11:34:00,C17,7432248591,eng,,news.abplive.com,,,,,Hindu,AS,,,,,,,,,,,,,,,,,,,
26,/Event/7432248591/7434336748/7434651654,7434651654,,IN,C18,2023-03-07T07:53:00,2023-03-07T11:41:00,C17,7432248591,eng,,ndtv.com,,,,,Hindu,AS,,,,,,,,,,,,,,,,,,,
27,/Event/7432248591/7434336748/7434664921,7434664921,,,,2023-03-07T07:53:00,2023-03-07T11:42:00,,7432248591,eng,,longbeachstar.com,,,,,,,,,,,,,,,,,,,,,,,,,
28,/Event/7432248591/7434336748/7434669518,7434669518,,FR,C14,2023-03-07T07:53:00,2023-03-07T11:45:00,C2,7432248591,eng,Center-left,lemonde.fr,ChatGPT,EU,Fre,NATO,Christian,EU,,,,,,,,,,,,,,,,,,,
29,/Event/7432248591/7434336748/7434685985,7434685985,,TR,C14,2023-03-07T07:53:00,2023-03-07T11:56:00,C12,7432248591,eng,,trtworld.com,,,,NATO,Muslim,AS,,,,,,,,,,,,,,,,,,,
