,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7442714159,7442714159,,,,2023-03-12T08:04:00,2023-03-12T08:04:00,,0,eng,,asianlite.com,,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7442714159/7442744643,7442744643,,,,2023-03-12T08:04:00,2023-03-12T08:32:00,,7442714159,eng,,nationalpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7442714159/7442744643/7442748194,7442748194,,UK,C4,2023-03-12T08:32:00,2023-03-12T08:36:00,C2,7442714159,eng,Center-left,dailymail.co.uk,ChatGPT,EU,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
4,/Event/7442714159/7442744643/7442748194/7443146414,7443146414,United-Kingdom,,,2023-03-12T08:36:00,2023-03-12T14:40:00,,7442714159,eng,,nworeport.me,,,,,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,
5,/Event/7442714159/7442744643/7442823576,7442823576,,,,2023-03-12T08:32:00,2023-03-12T09:47:00,,7442714159,eng,,nationalpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
6,/Event/7442714159/7442744643/7442823576/7443297907,7443297907,,,,2023-03-12T09:47:00,2023-03-12T17:04:00,,7442714159,eng,,theglobalherald.com,,,,,,,,,,,,,,,,,,,,,,,,,
7,/Event/7442714159/7442744643/7442823576/7443297907/7446177974,7446177974,,,,2023-03-12T17:04:00,2023-03-14T10:39:00,,7442714159,eng,,theglobalherald.com,,,,,,,,,,,,,,,,,,,,,,,,,
8,/Event/7442714159/7442744643/7442823576/7444220733,7444220733,,UK,C4,2023-03-12T09:47:00,2023-03-13T08:57:00,C2,7442714159,eng,Center-left,dailymail.co.uk,ChatGPT,EU,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
9,/Event/7442714159/7442744643/7442823576/7446510483,7446510483,,,,2023-03-12T09:47:00,2023-03-14T13:58:00,,7442714159,eng,,nationalpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
