,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,linguisticblocs,militarydefenseblocs,religions,politicalregionalblocs,economicblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7440345427,7440345427,United-Kingdom,UK,C4,2023-03-10T14:30:00,2023-03-10T14:30:00,C2,0,eng,,dailystar.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
2,/Event/7440345427/7440451821,7440451821,United-Kingdom,,,2023-03-10T14:30:00,2023-03-10T15:40:00,,7440345427,eng,,space.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
3,/Event/7440345427/7440451821/7441577125,7441577125,,AE,C19,2023-03-10T15:40:00,2023-03-11T10:26:00,C9,7440345427,eng,,gulfnews.ca,,,,,,,,,,,,,,,,,,,,AS,Ara,,Muslim,AL,
4,/Event/7440345427/7440451821/7441582241,7441582241,,,,2023-03-10T15:40:00,2023-03-11T10:31:00,,7440345427,eng,,spaceflightnow.com,,,,,,,,,,,,,,,,,,,,,,,,,
5,/Event/7440345427/7440451821/7441586185,7441586185,,IN,C18,2023-03-10T15:40:00,2023-03-11T10:34:00,C17,7440345427,eng,Center-left,indianexpress.com,ChatGPT,,,,,,,,,,,,,,,,,,,AS,,,Hindu,,
6,/Event/7440345427/7440451821/7441586185/7441653633,7441653633,India,,,2023-03-11T10:34:00,2023-03-11T11:35:00,,7440345427,eng,,ca.sports.yahoo.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
7,/Event/7440345427/7440451821/7441586185/7441828011,7441828011,India,,,2023-03-11T10:34:00,2023-03-11T14:15:00,,7440345427,eng,,ca.sports.yahoo.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
8,/Event/7440345427/7440451821/7441586185/7442024532,7442024532,India,USA,C4,2023-03-11T10:34:00,2023-03-11T17:16:00,C2,7440345427,eng,Center-left,cbsnews.com,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
9,/Event/7440345427/7440451821/7441586185/7442131353,7442131353,India,,,2023-03-11T10:34:00,2023-03-11T19:08:00,,7440345427,eng,,rocketnews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
10,/Event/7440345427/7440451821/7441586185/7442262521,7442262521,India,,,2023-03-11T10:34:00,2023-03-11T21:54:00,,7440345427,eng,,ca.sports.yahoo.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
11,/Event/7440345427/7440451821/7441586185/7442433731,7442433731,India,,,2023-03-11T10:34:00,2023-03-12T02:10:00,,7440345427,eng,,clickorlando.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
12,/Event/7440345427/7440451821/7441586185/7442433731/7442443504,7442443504,,USA,C4,2023-03-12T02:10:00,2023-03-12T02:26:00,C2,7440345427,eng,,siouxcityjournal.com,,,,,,,,,,,,,,,,,,,,,Eng,NATO,Christian,,NAFTA
13,/Event/7440345427/7440451821/7441586185/7442435045,7442435045,India,USA,C4,2023-03-11T10:34:00,2023-03-12T02:12:00,C2,7440345427,eng,,timesunion.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
14,/Event/7440345427/7440451821/7441586185/7442436152,7442436152,India,USA,C4,2023-03-11T10:34:00,2023-03-12T02:15:00,C2,7440345427,eng,,wtop.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
15,/Event/7440345427/7440451821/7441586185/7442440468,7442440468,India,USA,C4,2023-03-11T10:34:00,2023-03-12T02:23:00,C2,7440345427,eng,,spacenews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
16,/Event/7440345427/7440451821/7441586185/7442441804,7442441804,India,IN,C18,2023-03-11T10:34:00,2023-03-12T02:24:00,C17,7440345427,eng,,thehindu.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,,,Hindu,,
17,/Event/7440345427/7440451821/7441586185/7442443524,7442443524,India,USA,C4,2023-03-11T10:34:00,2023-03-12T02:26:00,C2,7440345427,eng,,npr.org,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
18,/Event/7440345427/7440451821/7441586185/7442445937,7442445937,India,IN,C18,2023-03-11T10:34:00,2023-03-12T02:31:00,C17,7440345427,eng,,hindustantimes.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,,,Hindu,,
19,/Event/7440345427/7440451821/7441586185/7442447089,7442447089,India,USA,C4,2023-03-11T10:34:00,2023-03-12T02:32:00,C2,7440345427,eng,,dothaneagle.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
20,/Event/7440345427/7440451821/7441586185/7442448181,7442448181,India,AU,C4,2023-03-11T10:34:00,2023-03-12T02:34:00,C2,7440345427,eng,,au.news.yahoo.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AU,Eng,,Christian,PIF,
21,/Event/7440345427/7440451821/7441586185/7442446353,7442446353,India,,,2023-03-11T10:34:00,2023-03-12T02:35:00,,7440345427,eng,,sports.yahoo.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
22,/Event/7440345427/7440451821/7441586185/7442449995,7442449995,India,,,2023-03-11T10:34:00,2023-03-12T02:38:00,,7440345427,eng,,nampa.org,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
23,/Event/7440345427/7440451821/7441586185/7442451494,7442451494,India,,,2023-03-11T10:34:00,2023-03-12T02:40:00,,7440345427,eng,,torontosun.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
24,/Event/7440345427/7440451821/7441586185/7442453446,7442453446,India,USA,C4,2023-03-11T10:34:00,2023-03-12T02:43:00,C2,7440345427,eng,,floridatoday.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
25,/Event/7440345427/7440451821/7441586185/7442459263,7442459263,India,,,2023-03-11T10:34:00,2023-03-12T02:52:00,,7440345427,eng,,wfla.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
26,/Event/7440345427/7440451821/7441586185/7442461056,7442461056,India,PH,C18,2023-03-11T10:34:00,2023-03-12T02:55:00,C18,7440345427,eng,Center-right-populist,tribune.net.ph,https:en.wikipedia.orgwikiDaily_Tribune_(Philippines),average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,,,Christian,,ASEAN
27,/Event/7440345427/7440451821/7441586185/7442465746,7442465746,India,,,2023-03-11T10:34:00,2023-03-12T03:02:00,,7440345427,eng,,tass.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
28,/Event/7440345427/7440451821/7441586185/7442466682,7442466682,India,PH,C18,2023-03-11T10:34:00,2023-03-12T03:03:00,C18,7440345427,eng,Center-right,manilatimes.net,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,,,Christian,,ASEAN
29,/Event/7440345427/7440451821/7441586185/7442476299,7442476299,India,USA,C4,2023-03-11T10:34:00,2023-03-12T03:17:00,C2,7440345427,eng,Center-left,cbsnews.com,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
30,/Event/7440345427/7440451821/7441586185/7442477931,7442477931,India,USA,C4,2023-03-11T10:34:00,2023-03-12T03:19:00,C2,7440345427,eng,,keyt.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Eng,NATO,Christian,,NAFTA
31,/Event/7440345427/7440451821/7441586185/7442478004,7442478004,India,,,2023-03-11T10:34:00,2023-03-12T03:20:00,,7440345427,eng,,castanet.net,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
32,/Event/7440345427/7440451821/7441586185/7442477457,7442477457,India,AE,C19,2023-03-11T10:34:00,2023-03-12T03:21:00,C9,7440345427,eng,,gulfnews.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Ara,,Muslim,AL,
33,/Event/7440345427/7440451821/7441586185/7442486176,7442486176,India,BD,C20,2023-03-11T10:34:00,2023-03-12T03:34:00,C5,7440345427,eng,,bssnews.net,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,,,Muslim,,
34,/Event/7440345427/7440451821/7441586185/7442488192,7442488192,India,,,2023-03-11T10:34:00,2023-03-12T03:37:00,,7440345427,eng,,devdiscourse.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
35,/Event/7440345427/7440451821/7441586185/7442489868,7442489868,India,UK,C4,2023-03-11T10:34:00,2023-03-12T03:39:00,C2,7440345427,eng,Conservative,shropshirestar.com,https:en.wikipedia.orgwikiShropshire_Star,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,EU,Eng,NATO,Christian,,
36,/Event/7440345427/7440451821/7441586185/7442494677,7442494677,India,IE,C4,2023-03-11T10:34:00,2023-03-12T03:49:00,C2,7440345427,eng,,independent.ie,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,EU,Eng,,Christian,,EU
37,/Event/7440345427/7440451821/7441586185/7442496116,7442496116,India,GG,,2023-03-11T10:34:00,2023-03-12T03:50:00,,7440345427,eng,,guernseypress.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,Spa,,,,
38,/Event/7440345427/7440451821/7441586185/7442498264,7442498264,India,,,2023-03-11T10:34:00,2023-03-12T03:52:00,,7440345427,eng,,wsvn.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
39,/Event/7440345427/7440451821/7441586185/7442505718,7442505718,India,CN,C18,2023-03-11T10:34:00,2023-03-12T04:03:00,C9,7440345427,eng,Independent,scmp.com,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,,,Irreligion,,
40,/Event/7440345427/7440451821/7441586185/7442520608,7442520608,India,,,2023-03-11T10:34:00,2023-03-12T04:22:00,,7440345427,eng,,bobrtimes.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
41,/Event/7440345427/7440451821/7441586185/7442531979,7442531979,India,AE,C19,2023-03-11T10:34:00,2023-03-12T04:37:00,C9,7440345427,eng,Center,khaleejtimes.com,ChatGPT,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,Ara,?,Muslim,AL,?
42,/Event/7440345427/7440451821/7441586185/7442548044,7442548044,India,IN,C18,2023-03-11T10:34:00,2023-03-12T05:00:00,C17,7440345427,eng,,news18.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,AS,,,Hindu,,
43,/Event/7440345427/7440451821/7441586185/7442553107,7442553107,India,,,2023-03-11T10:34:00,2023-03-12T05:06:00,,7440345427,eng,,canindia.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
44,/Event/7440345427/7440451821/7441586185/7442561738,7442561738,India,,,2023-03-11T10:34:00,2023-03-12T05:16:00,,7440345427,eng,,spacecoastdaily.com,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,,,,,
