,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,linguisticblocs,militarydefenseblocs,religions,economicblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7443313919,7443313919,United-Kingdom,UK,C4,2023-03-12T17:19:00,2023-03-12T17:19:00,C2,0,eng,Conservative-Populism-Euroscepticism,thescottishsun.co.uk,https:en.wikipedia.orgwikiThe_Sun_(United_Kingdom),best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
2,/Event/7443313919/7443315158,7443315158,United-Kingdom,UK,C4,2023-03-12T17:19:00,2023-03-12T17:20:00,C2,7443313919,eng,,goal.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
3,/Event/7443313919/7443315158/7443323623,7443323623,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-12T17:28:00,C2,7443313919,eng,Center-left,dailymail.co.uk,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
4,/Event/7443313919/7443315158/7443325928,7443325928,United-Kingdom,,,2023-03-12T17:20:00,2023-03-12T17:30:00,,7443313919,eng,,caughtoffside.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
5,/Event/7443313919/7443315158/7443325928/7443490714,7443490714,,,,2023-03-12T17:30:00,2023-03-12T20:30:00,,7443313919,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
6,/Event/7443313919/7443315158/7443325063,7443325063,United-Kingdom,,,2023-03-12T17:20:00,2023-03-12T17:30:00,,7443313919,eng,,ca.sports.yahoo.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
7,/Event/7443313919/7443315158/7443331868,7443331868,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-12T17:37:00,C2,7443313919,eng,Center-left,dailymail.co.uk,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
8,/Event/7443313919/7443315158/7443341014,7443341014,United-Kingdom,NG,C12,2023-03-12T17:20:00,2023-03-12T17:46:00,C5,7443313919,eng,,nigerianobservernews.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,AF,,,Muslim,AfCFTA,AU
9,/Event/7443313919/7443315158/7443341226,7443341226,United-Kingdom,,,2023-03-12T17:20:00,2023-03-12T17:46:00,,7443313919,eng,,talksport.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
10,/Event/7443313919/7443315158/7443342194,7443342194,United-Kingdom,IE,C4,2023-03-12T17:20:00,2023-03-12T17:47:00,C2,7443313919,eng,,independent.ie,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,,Christian,EU,
11,/Event/7443313919/7443315158/7443350538,7443350538,United-Kingdom,,,2023-03-12T17:20:00,2023-03-12T17:56:00,,7443313919,eng,,football.london,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
12,/Event/7443313919/7443315158/7443352061,7443352061,United-Kingdom,,,2023-03-12T17:20:00,2023-03-12T17:58:00,,7443313919,eng,,football365.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
13,/Event/7443313919/7443315158/7443354463,7443354463,United-Kingdom,,,2023-03-12T17:20:00,2023-03-12T18:01:00,,7443313919,eng,,en.haberler.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
14,/Event/7443313919/7443315158/7443354463/7443400281,7443400281,,,,2023-03-12T18:01:00,2023-03-12T18:48:00,,7443313919,eng,,justarsenal.com,,,,,,,,,,,,,,,,,,,,,,,,,
15,/Event/7443313919/7443315158/7443356841,7443356841,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-12T18:03:00,C2,7443313919,eng,,standard.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
16,/Event/7443313919/7443315158/7443369619,7443369619,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-12T18:15:00,C2,7443313919,eng,Center-left,theguardian.com,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
17,/Event/7443313919/7443315158/7443369619/7443809912,7443809912,United-Kingdom,,,2023-03-12T18:15:00,2023-03-13T03:05:00,,7443313919,eng,,football.london,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
18,/Event/7443313919/7443315158/7443377660,7443377660,United-Kingdom,,,2023-03-12T17:20:00,2023-03-12T18:24:00,,7443313919,eng,,sportskeeda.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
19,/Event/7443313919/7443315158/7443412884,7443412884,United-Kingdom,UK,C4,2023-03-12T17:20:00,2023-03-12T19:02:00,C2,7443313919,eng,,metro.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
20,/Event/7443313919/7443315158/7443418658,7443418658,United-Kingdom,,,2023-03-12T17:20:00,2023-03-12T19:07:00,,7443313919,eng,,arsenal.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
