,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,economicblocs,religions,linguisticblocs,militarydefenseblocs,politicalregionalblocs,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7443550343,7443550343,,,,2023-03-12T21:44:00,2023-03-12T21:44:00,,0,eng,,sipri.org,,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7443550343/7443612462,7443612462,,,,2023-03-12T21:44:00,2023-03-12T23:05:00,,7443550343,eng,,financialpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7443550343/7443612462/7443612623,7443612623,,,,2023-03-12T23:05:00,2023-03-12T23:06:00,,7443550343,eng,,247wallst.com,,,,,,,,,,,,,,,,,,,,,,,,,
4,/Event/7443550343/7443612462/7443668234,7443668234,,SG,C18,2023-03-12T23:05:00,2023-03-13T00:15:00,C2,7443550343,eng,Center-right,straitstimes.com,ChatGPT,AS,ASEAN,Buddhist,,,,,,,,,,,,,,,,,,,,,
5,/Event/7443550343/7443612462/7443929302,7443929302,,,,2023-03-12T23:05:00,2023-03-13T05:13:00,,7443550343,eng,,daily-sun.com,,,,,,,,,,,,,,,,,,,,,,,,,
6,/Event/7443550343/7443612462/7444018659,7444018659,,,,2023-03-12T23:05:00,2023-03-13T06:31:00,,7443550343,eng,,urdupoint.com,,,,,,,,,,,,,,,,,,,,,,,,,
7,/Event/7443550343/7443612462/7444137534,7444137534,,PH,C18,2023-03-12T23:05:00,2023-03-13T08:00:00,C18,7443550343,eng,Center-right,manilatimes.net,ChatGPT,AS,ASEAN,Christian,,,,,,,,,,,,,,,,,,,,,
8,/Event/7443550343/7443612462/7444671884,7444671884,,,,2023-03-12T23:05:00,2023-03-13T13:37:00,,7443550343,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
9,/Event/7443550343/7443612462/7444807139,7444807139,,,,2023-03-12T23:05:00,2023-03-13T15:00:00,,7443550343,eng,,sputniknews.com,,,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/7443550343/7443612462/7444836459,7444836459,,USA,C4,2023-03-12T23:05:00,2023-03-13T15:18:00,C2,7443550343,eng,Center-left,foxnews.com,ChatGPT,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
11,/Event/7443550343/7443612462/7444862384,7444862384,,,,2023-03-12T23:05:00,2023-03-13T15:33:00,,7443550343,eng,,financialpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/7443550343/7443612462/7444933643,7444933643,,,,2023-03-12T23:05:00,2023-03-13T16:21:00,,7443550343,eng,,latestly.com,,,,,,,,,,,,,,,,,,,,,,,,,
13,/Event/7443550343/7443612462/7444958037,7444958037,,TW,C16,2023-03-12T23:05:00,2023-03-13T16:39:00,C2,7443550343,eng,,taipeitimes.com,,AS,,Folk religion,,,,,,,,,,,,,,,,,,,,,
14,/Event/7443550343/7443612462/7445168267,7445168267,,BD,C20,2023-03-12T23:05:00,2023-03-13T19:18:00,C5,7443550343,eng,Center-left,thedailystar.net,ChatGPT,AS,,Muslim,,,,,,,,,,,,,,,,,,,,,
15,/Event/7443550343/7443612462/7446320234,7446320234,,,,2023-03-12T23:05:00,2023-03-14T12:05:00,,7443550343,eng,,businessworld.in,,,,,,,,,,,,,,,,,,,,,,,,,
16,/Event/7443550343/7443612462/7447636748,7447636748,,IN,C18,2023-03-12T23:05:00,2023-03-15T06:20:00,C17,7443550343,eng,,econotimes.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
17,/Event/7443550343/7443612462/7447692036,7447692036,,,,2023-03-12T23:05:00,2023-03-15T07:05:00,,7443550343,eng,,thesoufancenter.org,,,,,,,,,,,,,,,,,,,,,,,,,
18,/Event/7443550343/7443612462/7447719232,7447719232,,,,2023-03-12T23:05:00,2023-03-15T07:24:00,,7443550343,eng,,wowktv.com,,,,,,,,,,,,,,,,,,,,,,,,,
19,/Event/7443550343/7443612462/7447721393,7447721393,,,,2023-03-12T23:05:00,2023-03-15T07:26:00,,7443550343,eng,,wral.com,,,,,,,,,,,,,,,,,,,,,,,,,
20,/Event/7443550343/7443612462/7447721233,7447721233,,USA,C4,2023-03-12T23:05:00,2023-03-15T07:26:00,C2,7443550343,eng,,beaumontenterprise.com,,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
21,/Event/7443550343/7443612462/7447726695,7447726695,,,,2023-03-12T23:05:00,2023-03-15T07:30:00,,7443550343,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
22,/Event/7443550343/7443612462/7447735492,7447735492,,USA,C4,2023-03-12T23:05:00,2023-03-15T07:36:00,C2,7443550343,eng,,timesdaily.com,,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
23,/Event/7443550343/7443612462/7447743525,7447743525,,USA,C4,2023-03-12T23:05:00,2023-03-15T07:42:00,C2,7443550343,eng,,eagletribune.com,,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
24,/Event/7443550343/7443630394,7443630394,,CN,C18,2023-03-12T21:44:00,2023-03-12T23:28:00,C9,7443550343,eng,,uk.investing.com,,AS,,Irreligion,,,,,,,,,,,,,,,,,,,,,
25,/Event/7443550343/7443644237,7443644237,,SA,C15,2023-03-12T21:44:00,2023-03-12T23:46:00,C9,7443550343,eng,,english.alarabiya.net,,AS,,Muslim,Ara,,AL,,,,,,,,,,,,,,,,,,
26,/Event/7443550343/7443644237/7443782558,7443782558,Saudi-Arabia,IN,C18,2023-03-12T23:46:00,2023-03-13T02:32:00,C17,7443550343,eng,,firstpost.com,,AS,,Hindu,,,,55.0,64.0,43.0,82.0,56.0,48.0,14.0,56.0,75.0,27.0,54.0,43.0,138.0,163.0,72.0,98.0,105.0,64.0
27,/Event/7443550343/7443644237/7444399057,7444399057,Saudi-Arabia,,,2023-03-12T23:46:00,2023-03-13T10:50:00,,7443550343,eng,,guardian.ng,,,,,,,,55.0,64.0,43.0,82.0,56.0,48.0,14.0,56.0,75.0,27.0,54.0,43.0,138.0,163.0,72.0,98.0,105.0,64.0
