,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,religions,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7443920247,7443920247,Pakistan,PK,C20,2023-03-13T05:04:00,2023-03-13T05:04:00,C5,0,eng,Center,dawn.com,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim,,,,
2,/Event/7443920247/7444376609,7444376609,Pakistan,,,2023-03-13T05:04:00,2023-03-13T10:34:00,,7443920247,eng,,public.wmo.int,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,,,,,,
3,/Event/7443920247/7444376609/7444410288,7444410288,,FR,C14,2023-03-13T10:34:00,2023-03-13T10:56:00,C2,7443920247,eng,Public broadcaster,france24.com,ChatGPT,,,,,,,,,,,,,,,,,,,EU,Christian,EU,Fre,NATO,
4,/Event/7443920247/7444376609/7444424770,7444424770,,UK,C4,2023-03-13T10:34:00,2023-03-13T11:06:00,C2,7443920247,eng,Center-left,dailymail.co.uk,ChatGPT,,,,,,,,,,,,,,,,,,,EU,Christian,,Eng,NATO,
5,/Event/7443920247/7444376609/7444435221,7444435221,,,,2023-03-13T10:34:00,2023-03-13T11:11:00,,7443920247,eng,,sg.news.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
6,/Event/7443920247/7444376609/7445285942,7445285942,,,,2023-03-13T10:34:00,2023-03-13T21:05:00,,7443920247,eng,,nampa.org,,,,,,,,,,,,,,,,,,,,,,,,,
7,/Event/7443920247/7444376609/7445812065,7445812065,,,,2023-03-13T10:34:00,2023-03-14T06:37:00,,7443920247,eng,,spacedaily.com,,,,,,,,,,,,,,,,,,,,,,,,,
8,/Event/7443920247/7444376609/7445886354,7445886354,,,,2023-03-13T10:34:00,2023-03-14T07:33:00,,7443920247,eng,,unep.org,,,,,,,,,,,,,,,,,,,,,,,,,
9,/Event/7443920247/7444376609/7447688144,7447688144,,,,2023-03-13T10:34:00,2023-03-15T07:02:00,,7443920247,eng,,carbonbrief.org,,,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/7443920247/7444376609/7448090503,7448090503,,,,2023-03-13T10:34:00,2023-03-15T11:22:00,,7443920247,eng,,unep.org,,,,,,,,,,,,,,,,,,,,,,,,,
11,/Event/7443920247/7444376609/7448514522,7448514522,,,,2023-03-13T10:34:00,2023-03-15T15:35:00,,7443920247,eng,,thecanary.co,,,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/7443920247/7444376609/7449439569,7449439569,,,,2023-03-13T10:34:00,2023-03-16T05:42:00,,7443920247,eng,,jamaica-gleaner.com,,,,,,,,,,,,,,,,,,,,,,,,,
13,/Event/7443920247/7444376609/7451198593,7451198593,,AU,C4,2023-03-13T10:34:00,2023-03-17T04:03:00,C2,7443920247,eng,,theconversation.com,,,,,,,,,,,,,,,,,,,,AU,Christian,,Eng,,PIF
14,/Event/7443920247/7444376609/7451218432,7451218432,,,,2023-03-13T10:34:00,2023-03-17T04:23:00,,7443920247,eng,,foreignaffairs.co.nz,,,,,,,,,,,,,,,,,,,,,,,,,
15,/Event/7443920247/7444413256,7444413256,Pakistan,,,2023-03-13T05:04:00,2023-03-13T10:58:00,,7443920247,eng,,foreignaffairs.co.nz,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,,,,,,
16,/Event/7443920247/7445509400,7445509400,Pakistan,AU,C4,2023-03-13T05:04:00,2023-03-14T01:17:00,C2,7443920247,eng,,crikey.com.au,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AU,Christian,,Eng,,PIF
17,/Event/7443920247/7445509400/7445677854,7445677854,Australia,,,2023-03-14T01:17:00,2023-03-14T04:36:00,,7443920247,eng,,urdupoint.com,,best,best,best,best,best,high,high,best,best,low,best,high,best,best,low,best,best,high,,,,,,
18,/Event/7443920247/7445509400/7445812041,7445812041,Australia,,,2023-03-14T01:17:00,2023-03-14T06:37:00,,7443920247,eng,,energy-daily.com,,best,best,best,best,best,high,high,best,best,low,best,high,best,best,low,best,best,high,,,,,,
19,/Event/7443920247/7445509400/7446276449,7446276449,Australia,QA,C19,2023-03-14T01:17:00,2023-03-14T11:37:00,C9,7443920247,eng,pro-Qatari-government-Arab-nationalist,aljazeera.com,ChatGPT,best,best,best,best,best,high,high,best,best,low,best,high,best,best,low,best,best,high,AS,Muslim,,Ara,,AL
20,/Event/7443920247/7446181020,7446181020,Pakistan,PK,C20,2023-03-13T05:04:00,2023-03-14T10:40:00,C5,7443920247,eng,Center,dawn.com,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AS,Muslim,,,,
21,/Event/7443920247/7446181020/7446419284,7446419284,Pakistan,,,2023-03-14T10:40:00,2023-03-14T13:04:00,,7443920247,eng,,rocketnews.com,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,,,,,,
22,/Event/7443920247/7446181020/7446427838,7446427838,Pakistan,,,2023-03-14T10:40:00,2023-03-14T13:09:00,,7443920247,eng,,en.prothomalo.com,,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,,,,,,
23,/Event/7443920247/7448128266,7448128266,Pakistan,GH,C10,2023-03-13T05:04:00,2023-03-15T11:46:00,C16,7443920247,eng,Center,myjoyonline.com,ChatGPT,worst,worst,average,worst,worst,low,low,average,worst,low,worst,low,worst,average,high,worst,worst,high,AF,Christian,AfCFTA,,,AU
24,/Event/7444071845,7444071845,,,,2023-03-13T07:13:00,2023-03-13T07:13:00,,0,eng,,news.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
