,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,linguisticblocs,politicalregionalblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,militarydefenseblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7444523660,7444523660,,,,2023-03-13T12:05:00,2023-03-13T12:05:00,,0,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7444523660/7444555739,7444555739,,,,2023-03-13T12:05:00,2023-03-13T12:23:00,,7444523660,eng,,news.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7444523660/7444570507,7444570507,,QA,C19,2023-03-13T12:05:00,2023-03-13T12:32:00,C9,7444523660,eng,pro-Qatari-government-Arab-nationalist,aljazeera.com,ChatGPT,AS,Ara,AL,Muslim,,,,,,,,,,,,,,,,,,,,
4,/Event/7444523660/7444570507/7444575008,7444575008,Qatar,,,2023-03-13T12:32:00,2023-03-13T12:35:00,,7444523660,eng,,terradaily.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
5,/Event/7444523660/7444570507/7444711731,7444711731,Qatar,,,2023-03-13T12:32:00,2023-03-13T13:59:00,,7444523660,eng,,en.haberler.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
6,/Event/7444523660/7444570507/7444714898,7444714898,Qatar,USA,C4,2023-03-13T12:32:00,2023-03-13T14:01:00,C2,7444523660,eng,,reliefweb.int,,,Eng,,Christian,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,NAFTA,NATO
7,/Event/7444523660/7444570507/7444816139,7444816139,Qatar,,,2023-03-13T12:32:00,2023-03-13T15:06:00,,7444523660,eng,,latestly.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
8,/Event/7444523660/7444570507/7444821532,7444821532,Qatar,,,2023-03-13T12:32:00,2023-03-13T15:08:00,,7444523660,eng,,middleeastmonitor.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
9,/Event/7444523660/7444570507/7444926812,7444926812,Qatar,,,2023-03-13T12:32:00,2023-03-13T16:16:00,,7444523660,eng,,today.rtl.lu,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
10,/Event/7444523660/7444570507/7444946151,7444946151,Qatar,,,2023-03-13T12:32:00,2023-03-13T16:30:00,,7444523660,eng,,sg.news.yahoo.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
11,/Event/7444523660/7444570507/7444953531,7444953531,Qatar,TR,C14,2023-03-13T12:32:00,2023-03-13T16:36:00,C12,7444523660,eng,,aa.com.tr,,AS,,,Muslim,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,NATO
12,/Event/7444523660/7444570507/7444968394,7444968394,Qatar,,,2023-03-13T12:32:00,2023-03-13T16:44:00,,7444523660,eng,,terradaily.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
13,/Event/7444523660/7444570507/7445000930,7445000930,Qatar,,,2023-03-13T12:32:00,2023-03-13T17:07:00,,7444523660,eng,,en.haberler.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
14,/Event/7444523660/7444570507/7445055656,7445055656,Qatar,,,2023-03-13T12:32:00,2023-03-13T17:48:00,,7444523660,eng,,foreignaffairs.co.nz,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
15,/Event/7444523660/7444570507/7445171518,7445171518,Qatar,SA,C15,2023-03-13T12:32:00,2023-03-13T19:22:00,C9,7444523660,eng,Center,arabnews.com,ChatGPT,AS,Ara,AL,Muslim,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
16,/Event/7444523660/7444570507/7445270293,7445270293,Qatar,EG,C19,2023-03-13T12:32:00,2023-03-13T20:50:00,C5,7444523660,eng,Uncertain,english.ahram.org.eg,https:en.wikipedia.orgwikiAl-Ahram,AF,Ara,AU,Muslim,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,AfCFTA,
17,/Event/7444523660/7444570507/7445370529,7445370529,Qatar,,,2023-03-13T12:32:00,2023-03-13T22:30:00,,7444523660,eng,,therussophile.org,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
18,/Event/7444523660/7444570507/7448260764,7448260764,Qatar,USA,C4,2023-03-13T12:32:00,2023-03-15T13:03:00,C2,7444523660,eng,Center-left,cbsnews.com,ChatGPT,,Eng,,Christian,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,NAFTA,NATO
19,/Event/7444523660/7444570507/7448318200,7448318200,Qatar,,,2023-03-13T12:32:00,2023-03-15T13:36:00,,7444523660,eng,,news.yahoo.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
20,/Event/7444523660/7444570507/7450383200,7450383200,Qatar,,,2023-03-13T12:32:00,2023-03-16T15:34:00,,7444523660,eng,,middleeastmonitor.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
21,/Event/7444523660/7444570507/7450621910,7450621910,Qatar,,,2023-03-13T12:32:00,2023-03-16T18:16:00,,7444523660,eng,,syriahr.com,,,,,,best,average,best,best,best,low,low,best,best,low,best,high,worst,average,high,best,best,high,,
22,/Event/7444523660/7444587668,7444587668,,SA,C15,2023-03-13T12:05:00,2023-03-13T12:42:00,C9,7444523660,eng,,english.alarabiya.net,,AS,Ara,AL,Muslim,,,,,,,,,,,,,,,,,,,,
23,/Event/7444523660/7444608136,7444608136,,,,2023-03-13T12:05:00,2023-03-13T12:55:00,,7444523660,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
24,/Event/7444523660/7444608136/7445128252,7445128252,,USA,C4,2023-03-13T12:55:00,2023-03-13T18:45:00,C2,7444523660,eng,,voanews.com,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
25,/Event/7444523660/7444626712,7444626712,,,,2023-03-13T12:05:00,2023-03-13T13:08:00,,7444523660,eng,,rocketnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
26,/Event/7444523660/7444636562,7444636562,,,,2023-03-13T12:05:00,2023-03-13T13:13:00,,7444523660,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
27,/Event/7444523660/7444688341,7444688341,,,,2023-03-13T12:05:00,2023-03-13T13:45:00,,7444523660,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
28,/Event/7444523660/7444715822,7444715822,,CY,,2023-03-13T12:05:00,2023-03-13T14:02:00,C4,7444523660,eng,Independent-liberal,in-cyprus.philenews.com,https:en.wikipedia.orgwikiPhileleftheros,EU,,,Christian,,,,,,,,,,,,,,,,,,,EU,
29,/Event/7444523660/7444778364,7444778364,,,,2023-03-13T12:05:00,2023-03-13T14:41:00,,7444523660,eng,,nationalpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
30,/Event/7444523660/7444781734,7444781734,,USA,C4,2023-03-13T12:05:00,2023-03-13T14:43:00,C2,7444523660,eng,,mynorthwest.com,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
31,/Event/7444523660/7444782842,7444782842,,USA,C4,2023-03-13T12:05:00,2023-03-13T14:43:00,C2,7444523660,eng,,sfgate.com,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
32,/Event/7444523660/7444796059,7444796059,,,,2023-03-13T12:05:00,2023-03-13T14:54:00,,7444523660,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
33,/Event/7444523660/7444806754,7444806754,,TR,C14,2023-03-13T12:05:00,2023-03-13T14:59:00,C12,7444523660,eng,,dailysabah.com,,AS,,,Muslim,,,,,,,,,,,,,,,,,,,,NATO
34,/Event/7444523660/7444807590,7444807590,,,,2023-03-13T12:05:00,2023-03-13T15:01:00,,7444523660,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
35,/Event/7444523660/7444820869,7444820869,,USA,C4,2023-03-13T12:05:00,2023-03-13T15:08:00,C2,7444523660,eng,,timesdaily.com,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
36,/Event/7444523660/7444846582,7444846582,,UK,C4,2023-03-13T12:05:00,2023-03-13T15:25:00,C2,7444523660,eng,Center-left,dailymail.co.uk,ChatGPT,EU,Eng,,Christian,,,,,,,,,,,,,,,,,,,,NATO
37,/Event/7444523660/7444881548,7444881548,,NZ,C4,2023-03-13T12:05:00,2023-03-13T15:46:00,C2,7444523660,eng,Center-left,stuff.co.nz,ChatGPT,AU,Eng,PIF,Irreligion,,,,,,,,,,,,,,,,,,,,
38,/Event/7444523660/7444881548/7445675495,7445675495,New-Zealand,AE,C19,2023-03-13T15:46:00,2023-03-14T04:33:00,C9,7444523660,eng,Pro-government,thenationalnews.com,https:en.wikipedia.orgwikiThe_National_(Abu_Dhabi),AS,Ara,AL,Muslim,best,best,best,best,best,high,high,best,best,low,best,high,best,best,low,best,best,low,?,?
39,/Event/7444523660/7444881432,7444881432,,AE,C19,2023-03-13T12:05:00,2023-03-13T15:46:00,C9,7444523660,eng,Pro-government,thenationalnews.com,https:en.wikipedia.orgwikiThe_National_(Abu_Dhabi),AS,Ara,AL,Muslim,,,,,,,,,,,,,,,,,,,?,?
40,/Event/7444523660/7444967359,7444967359,,IN,C18,2023-03-13T12:05:00,2023-03-13T16:43:00,C17,7444523660,eng,,business-standard.com,,AS,,,Hindu,,,,,,,,,,,,,,,,,,,,
41,/Event/7444523660/7444967359/7447788790,7447788790,India,SY,C20,2023-03-13T16:43:00,2023-03-15T08:13:00,C5,7444523660,eng,,english.enabbaladi.net,,AS,Ara,AL,Muslim,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,
42,/Event/7444523660/7444968981,7444968981,,USA,C4,2023-03-13T12:05:00,2023-03-13T16:45:00,C2,7444523660,eng,,startribune.com,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
43,/Event/7444523660/7444970192,7444970192,,USA,C4,2023-03-13T12:05:00,2023-03-13T16:46:00,C2,7444523660,eng,,timesdaily.com,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
44,/Event/7444523660/7445032622,7445032622,,USA,C4,2023-03-13T12:05:00,2023-03-13T17:30:00,C2,7444523660,eng,Center-left,foxnews.com,ChatGPT,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
45,/Event/7444523660/7445041449,7445041449,,IL,C9,2023-03-13T12:05:00,2023-03-13T17:37:00,C1,7444523660,eng,Center-left,haaretz.com,ChatGPT,AS,,,Jewish,,,,,,,,,,,,,,,,,,,,
46,/Event/7444523660/7445048003,7445048003,,,,2023-03-13T12:05:00,2023-03-13T17:42:00,,7444523660,eng,,anfenglishmobile.com,,,,,,,,,,,,,,,,,,,,,,,,,
47,/Event/7444523660/7445050324,7445050324,,USA,C4,2023-03-13T12:05:00,2023-03-13T17:43:00,C2,7444523660,eng,,news.un.org,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
48,/Event/7444523660/7445097632,7445097632,,NZ,C4,2023-03-13T12:05:00,2023-03-13T18:20:00,C2,7444523660,eng,Center-left,scoop.co.nz,ChatGPT,AU,Eng,PIF,Irreligion,,,,,,,,,,,,,,,,,,,,
49,/Event/7444523660/7445145138,7445145138,,,,2023-03-13T12:05:00,2023-03-13T18:59:00,,7444523660,eng,,app.com.pk,,,,,,,,,,,,,,,,,,,,,,,,,
50,/Event/7444523660/7445165855,7445165855,,,,2023-03-13T12:05:00,2023-03-13T19:20:00,,7444523660,eng,,urdupoint.com,,,,,,,,,,,,,,,,,,,,,,,,,
51,/Event/7444523660/7445212383,7445212383,,,,2023-03-13T12:05:00,2023-03-13T19:59:00,,7444523660,eng,,apnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
52,/Event/7444523660/7445239979,7445239979,,USA,C4,2023-03-13T12:05:00,2023-03-13T20:22:00,C2,7444523660,eng,,voanews.com,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
53,/Event/7444523660/7445281993,7445281993,,,,2023-03-13T12:05:00,2023-03-13T21:01:00,,7444523660,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
54,/Event/7444523660/7445283207,7445283207,,,,2023-03-13T12:05:00,2023-03-13T21:02:00,,7444523660,eng,,syrianobserver.com,,,,,,,,,,,,,,,,,,,,,,,,,
55,/Event/7444523660/7445286840,7445286840,,KE,C20,2023-03-13T12:05:00,2023-03-13T21:05:00,C17,7444523660,eng,,kenyastar.com,,AF,,AU,Christian,,,,,,,,,,,,,,,,,,,AfCFTA,
56,/Event/7444523660/7445484267,7445484267,,UK,C4,2023-03-13T12:05:00,2023-03-14T00:45:00,C2,7444523660,eng,,english.aawsat.com,,EU,Eng,,Christian,,,,,,,,,,,,,,,,,,,,NATO
57,/Event/7444523660/7445949409,7445949409,,,,2023-03-13T12:05:00,2023-03-14T08:16:00,,7444523660,eng,,english.elpais.com,,,,,,,,,,,,,,,,,,,,,,,,,
58,/Event/7444523660/7446142052,7446142052,,,,2023-03-13T12:05:00,2023-03-14T10:17:00,,7444523660,eng,,middleeastmonitor.com,,,,,,,,,,,,,,,,,,,,,,,,,
59,/Event/7444523660/7446274733,7446274733,,USA,C4,2023-03-13T12:05:00,2023-03-14T11:36:00,C2,7444523660,eng,,arkansasonline.com,,,Eng,,Christian,,,,,,,,,,,,,,,,,,,NAFTA,NATO
60,/Event/7444523660/7446343827,7446343827,,,,2023-03-13T12:05:00,2023-03-14T12:18:00,,7444523660,eng,,newdelhitimes.com,,,,,,,,,,,,,,,,,,,,,,,,,
61,/Event/7444523660/7450108721,7450108721,,,,2023-03-13T12:05:00,2023-03-16T12:50:00,,7444523660,eng,,justsecurity.org,,,,,,,,,,,,,,,,,,,,,,,,,
