source.uri,country,language,Political-Alignment,wiki-url,Cultural-Class,Economic-Class
pajhwok.com,Afghanistan,"Dari,English,Pashto",unknown,unknown,unknown,C8
outlookafgha nistan.net,Afghanistan,English,unknown,unknown,unknown,C8
khaama.com,Afghanistan,"English,Pashto,Persian",unknown,unknown,unknown,C8
1tvnews.af,Afghanistan,unknown,unknown,unknown,unknown,C8
dushi.ca,Afghanistan,unknown,unknown,unknown,unknown,C8
thekabultimes.gov.af,Afghanistan,unknown,unknown,unknown,unknown,C8
tolonews.com,Afghanistan,unknown,unknown,unknown,unknown,C8
wadsam.com,Afghanistan,unknown,unknown,unknown,unknown,C8
tiranatimes.com,Albania,English,Independent,https://en.wikipedia.org/wiki/Tirana_Times,C15,C19
oranews.tv,Albania,unknown,unknown,unknown,C15,C19
top-channel.tv,Albania,unknown,unknown,unknown,C15,C19
el-massa.com,Algeria,Arabic,Centre,https://en.wikipedia.org/wiki/El_Massa,C20,C13
elwatan.info,Algeria,French,Centre-Right,https://en.wikipedia.org/wiki/El_Watan,C20,C13
wattan.net,Algeria,French,Centre-Right,https://en.wikipedia.org/wiki/El_Watan,C20,C13
ennaharonline.com,Algeria,Arabic,unknown,unknown,C20,C13
alchourouk.com,Algeria,unknown,unknown,unknown,C20,C13
aps.dz,Algeria,unknown,unknown,unknown,C20,C13
elbilad.net,Algeria,unknown,unknown,unknown,C20,C13
eldjoumhouria.dz,Algeria,unknown,unknown,unknown,C20,C13
elmoudjahid.com,Algeria,unknown,unknown,unknown,C20,C13
elwatan.com,Algeria,unknown,unknown,unknown,C20,C13
entv.dz,Algeria,unknown,unknown,unknown,C20,C13
horizons-dz.com,Algeria,unknown,unknown,unknown,C20,C13
sport.echoroukonline.com,Algeria,unknown,unknown,unknown,C20,C13
jornaldeangola.sapo.ao,Angola,unknown,unknown,unknown,C10,C8
baenegocios.com,Argentina,spanish,Kirchnerism,https://en.wikipedia.org/wiki/Bues_Aires_Econ%C3%B3mico,C14,C19
ieco.clarin.com,Argentina,unknown,Social-liberalism-Formerly:Developmentalism,https://en.wikipedia.org/wiki/Clar%C3%ADn_(Argentine_newspaper),C14,C19
cronica.com.ar,Argentina,Spanish,Populism-Kirchnerism,https://en.wikipedia.org/wiki/Cr%C3%B3nica_(newspaper),C14,C19
diariopopular.com.ar,Argentina,unknown,Conservatism,https://en.wikipedia.org/wiki/Diario_Popular,C14,C19
elliberal.com.ar,Argentina,unknown,Centrism,https://en.wikipedia.org/wiki/El_Liberal_(Argentine_newspaper),C14,C19
lagacetasalta.com.ar,Argentina,unknown,Conservatism,https://en.wikipedia.org/wiki/La_Gaceta_(Tucum%C3%A1n),C14,C19
nacion.com,Argentina,Spanish,Conservative-liberalism,https://en.wikipedia.org/wiki/La_Naci%C3%B3n,C14,C19
laopinionaustral.com.ar,Argentina,unknown,Social-liberalism-Progressivism,https://en.wikipedia.org/wiki/La_Opini%C3%B3n_(Argentina),C14,C19
hayprensa.com.ar,Argentina,unknown,Conservatism,https://en.wikipedia.org/wiki/La_Prensa_(Bues_Aires),C14,C19
vos.lavoz.com.ar,Argentina,unknown,Conservatism,https://en.wikipedia.org/wiki/La_Voz_del_Interior,C14,C19
losandes.com.pe,Argentina,unknown,Conservatism,https://en.wikipedia.org/wiki/Los_Andes_(Argentine_newspaper),C14,C19
misionesonline.net,Argentina,Spanish,Centrism---Developmentalism,https://en.wikipedia.org/wiki/Misiones_Online,C14,C19
diariohoy.net,Argentina,Spanish,unknown,unknown,C14,C19
eldiarioar.com,Argentina,Spanish,unknown,unknown,C14,C19
elintransigente.com,Argentina,Spanish,unknown,unknown,C14,C19
noticias.perfil.com,Argentina,Spanish,unknown,unknown,C14,C19
noticiasde.es,Argentina,Spanish,unknown,unknown,C14,C19
ole.com.ar,Argentina,Spanish,unknown,unknown,C14,C19
ambito.com,Argentina,unknown,unknown,unknown,C14,C19
america24.com,Argentina,unknown,unknown,unknown,C14,C19
