source.uri,con_name,country,lang-name,language,Political-Alignment,wiki-url,Cultural-Class,Economic-Class,Continent-name,Continent,Religions,2019Rank-From,SafetyandSecurity,PersonalFreedom,Governance,SocialCapital,InvestmentEnvironment,EnterpriseConditions,MarketAccessandInfrastructure,EconomicQuality,LivingConditions,Health,Education,NaturalEnvironment,PowerDistance,Individualism,Masculinity,UncertaintyAvoidance,LongTermOrientation,Indulgence,economicblocs-name,economicblocs,militarydefenseblocs-name,militarydefenseblocs,politicalregionalblocs-name,politicalregionalblocs,linguisticblocs-name,linguisticblocs
https:kurier.at,Austria,AT,,,Center-left,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
futter.kleinezeitung.at,Austria,AT,,,Center-right,https:en.wikipedia.orgwikiKleine_Zeitung,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
diepresse.com,Austria,AT,,,Conservative,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
kleinezeitung.at,Austria,AT,,,Conservative,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
money.oe24.at,Austria,AT,German,ger,Conservative,https:en.wikipedia.orgwiki%C3%96sterreich_(newspaper),C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
sn.at,Austria,AT,,,Conservative,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
tt.com,Austria,AT,,,Conservative,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
volksblatt.at,Austria,AT,German,ger,Conservative,https:en.wikipedia.orgwikiNeues_Volksblatt,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
wienerzeitung.at,Austria,AT,,,Government-owned,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
derstandard.at,Austria,AT,,,Liberal,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
heute.at,Austria,AT,,,Populist,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
krone.at,Austria,AT,,,Populist,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
oe24.at,Austria,AT,,,Populist,ChatGPT,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
laola1.at,Austria,AT,,,,,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
orf.at,Austria,AT,,,,,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
sport.orf.at,Austria,AT,,,,,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
vienna.at,Austria,AT,,,,,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
vorarlbergernachrichten.at,Austria,AT,,,,,C5,C2,Europe,EU,Christian,14,best,best,best,best,best,best,best,best,best,best,best,best,low,high,high,high,high,high,European Union (EU),EU,,,,,German-speaking,Ger
calcalistech.com,Israel,IL,,,,,C9,C1,Asia,AS,Jewish,33,worst,best,best,average,best,best,best,best,best,best,best,average,low,high,low,high,low,low,,,,,,,,
